职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
急聘～数据分析员～双休，五险一金,8千-1万 · 14薪,杭州-拱墅,经验不限,本科,电商数据运营、行业数据分析、策略运营,上海古竹市场营销策划有限公司,http://jobs.zhaopin.com/CC828672760J40495780216.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据分析师,面议,杭州,经验不限,本科,Python、销售数据分析,杭州中美华东制药有限公司,http://jobs.zhaopin.com/CC198426920J40440471510.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据工程师,1.5万-2万,杭州-拱墅,3-5年,大专,DATAWORKS、SQL,阿尔泰克,http://jobs.zhaopin.com/CC140418100J40495153602.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
浙江大学脑医学影像实验室数据分析岗招聘公告,8千-9千,杭州-上城,经验不限,本科,Python、MATLAB,浙江大学,http://jobs.zhaopin.com/CC199796410J40467144704.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据开发工程师,1万-1.7万,杭州-滨江,1-3年,本科,Flink、Spark、hive,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40498001606.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据开发工程师,1万-1.8万,杭州-上城,3-5年,本科,ETL,上海天正软件有限公司,http://jobs.zhaopin.com/CC565947520J40489230011.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据分析助理（双休）,8千-1.5万,杭州,经验不限,本科,数据平台、数据采集,杭州烛名科技有限公司,http://jobs.zhaopin.com/CCL1467915280J40428320311.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
bi数据分析师（数字园区+大厂+五险一金）,1.2万-1.6万 · 14薪,杭州-西湖,3-5年,本科,SQL、Python、excel、Power BI、商业数据分析、运营数据分析,外企德科,http://jobs.zhaopin.com/CC138117190J40506431405.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据分析,1.4万-2.8万 · 13薪,杭州-西湖,1-3年,本科,Python,中电金信软件有限公司,http://jobs.zhaopin.com/CC443657520J40461834909.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据分析与处理软件工程师,1.2万-2万,杭州-滨江,1-3年,本科,数据分析、遥感、聚类、深度学习、Python,杭州高谱成像技术有限公司,http://jobs.zhaopin.com/CC887878130J40215017106.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据分析+管培生,1万-1.5万,杭州-拱墅,经验不限,本科,,江西星函企业管理有限公司,http://jobs.zhaopin.com/CCL1322411260J40437638911.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据研发工程师,1万-1.6万,杭州-滨江,经验不限,本科,ETL、Hadoop,江苏鑫瑞源科技有限公司,http://jobs.zhaopin.com/CCL1335802250J40512423810.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
主数据管理专员(J11286),6千-8千 · 14薪,杭州-余杭,1-3年,本科,SAP,杭州认养一头牛生物科技有限公司,http://jobs.zhaopin.com/CC848413500J40461235913.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据开发工程师-初中高级,1.1万-2万,杭州-拱墅,1-3年,本科,数仓开发,凯美瑞德(苏州)信息科技股份有限公司,http://jobs.zhaopin.com/CC615984520J40449619116.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据专员（双休）,9千-1.6万,杭州,经验不限,本科,行业分析,杭州烛名科技有限公司,http://jobs.zhaopin.com/CCL1467915280J40428316511.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据工程师,1万-1.5万,杭州-拱墅,3-5年,大专,SQL、DATAWORKS、保险行业,阿尔泰克,http://jobs.zhaopin.com/CC140418100J40495183602.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据统计员,8千-1万,杭州-滨江,经验不限,大专,数据,浙江合尔珀生物科技有限公司,http://jobs.zhaopin.com/CCL1372241830J40541936301.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
python数据分析师,1.5万-2万,杭州-临平,3-5年,本科,Python、MYSQL，NAVICAT,杭州熵运数据科技有限公司,http://jobs.zhaopin.com/CCL1408006890J40499186906.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据治理（实习岗）,9千-1.3万,杭州-上城,无经验,本科,数据治理,浙江省公众信息产业有限公司,http://jobs.zhaopin.com/CC147451160J40494190511.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据分析实习生,150-200/天,杭州-余杭,无经验,本科,数据分析,杭州安步汽车科技集团有限公司,http://jobs.zhaopin.com/CC297213180J40479158613.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
电商运营(数据分析),9千-1.4万,杭州-钱塘,经验不限,本科,Tableau、SPSS、Kettle,长沙信必优信息科技有限公司,http://jobs.zhaopin.com/CCL1310486740J40474056506.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据开发工程师,1万-1.5万,杭州-上城,3-5年,本科,DB2、数据库、Oracle、SQL、Java,北京银丰新融科技开发有限公司,http://jobs.zhaopin.com/CC121069040J40209589313.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据开发工程师【线上面试+双休】,1.2万-1.9万,杭州-上城,3-5年,本科,报表开发、ETL开发、数据建模、Hive、Oracle、ODPS,上海晨钦信息科技服务有限公司,http://jobs.zhaopin.com/CCL1343356340J40406011212.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据分析助理（会加班）,8千-9千 · 13薪,杭州-上城,1-3年,本科,商业数据分析、运营数据分析、销售数据分析、金融数据分析,广州艾佳伟粤科技有限公司,http://jobs.zhaopin.com/CCL1469362360J40482584502.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据运营主管,9千-1.2万 · 14薪,杭州-萧山,3-5年,本科,经营数据分析、行业数据分析,贝壳找房科技有限公司,http://jobs.zhaopin.com/CC300255130J40561632315.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
数据开发（外包-稠州银行）,1.2万-1.6万,杭州-上城,3-5年,大专,帆软大屏,舟恩信息,http://jobs.zhaopin.com/CC665594320J40505916210.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
开发设计岗（数据开发方向）,面议,杭州-上城,3-5年,硕士,Hadoop、Hive、Spark、数据挖掘、数据建模、数仓开发,中国邮政储蓄银行股份有限公司浙江省分行,http://jobs.zhaopin.com/CC173456210J40482574716.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
新能源数字-数据分析师,1.3万-2.6万,杭州-滨江,3-5年,本科,运营数据分析、销售数据分析、行业分析,中安润微科技上海,http://jobs.zhaopin.com/CCL1476042980J40515774910.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
中级数据开发【数据建模/线上面试/金融项目】,1.3万-1.9万,杭州-萧山,3-5年,本科,数仓开发、数据建模、Hadoop、Yarn、MySQL、Oracle、信贷反欺诈、风控票据,北京汉克时代科技有限公司,http://jobs.zhaopin.com/CC493150920J40554790414.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
财险浙江-业务管理部-经营分析岗,6千-8千,杭州-上城,1-3年,本科,Python、Java、SQL、商业数据分析、销售数据分析、金融数据分析、行业分析,太平财产保险有限公司浙江分公司,http://jobs.zhaopin.com/CC366243110J40447563203.htm?refcode=4019&srccode=401901&preactionid=bbaa0474-61db-4abd-9de3-0d57ab9e9893
