职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
算法工程师,1.5万-2.5万,杭州-滨江,经验不限,本科,,河南爱收入科技有限公司杭州分公司,http://jobs.zhaopin.com/CCL1472368380J40485552516.htm?refcode=4019&srccode=401901&preactionid=8cb333b7-7223-478d-920a-3bf9300850b6
视觉算法工程师,2.5万-4万 · 14薪,杭州,经验不限,硕士,模式识别、图像处理、图像算法、机器学习,易思维,http://jobs.zhaopin.com/CC622090030J40229124010.htm?refcode=4019&srccode=401901&preactionid=8cb333b7-7223-478d-920a-3bf9300850b6
导航算法工程师,1万-1.5万 · 13薪,杭州-钱塘,经验不限,本科,MATLAB、机器人算法、导航算法,杭州启飞智能科技有限公司,http://jobs.zhaopin.com/CC370689480J40108310001.htm?refcode=4019&srccode=401901&preactionid=8cb333b7-7223-478d-920a-3bf9300850b6
机器视觉应用工程师,6千-1.2万,杭州,经验不限,大专,电工基础,杭州映图智能科技有限公司,http://jobs.zhaopin.com/CC477121730J40014482301.htm?refcode=4019&srccode=401901&preactionid=8cb333b7-7223-478d-920a-3bf9300850b6
Auto camera开发工程师(HZ),1.5万-2.3万,杭州-滨江,1-3年,本科,C++、C语言,慧博云通科技股份有限公司,http://jobs.zhaopin.com/CCL1254757260J40497272805.htm?refcode=4019&srccode=401901&preactionid=8cb333b7-7223-478d-920a-3bf9300850b6
Java开发（AI算法方向）,2万-3万 · 14薪,杭州-滨江,3-5年,本科,后端开发、AI应用、算法,上海恒生聚源数据服务有限公司,http://jobs.zhaopin.com/CC382753910J40499169901.htm?refcode=4019&srccode=401901&preactionid=8cb333b7-7223-478d-920a-3bf9300850b6
视觉算法工程师,1.8万-2.6万 · 13薪,杭州-萧山,3-5年,硕士,Halcon、机器视觉、缺陷检测、VisionPro,杭州国辰机器人科技有限公司,http://jobs.zhaopin.com/CC320706480J40079377602.htm?refcode=4019&srccode=401901&preactionid=8cb333b7-7223-478d-920a-3bf9300850b6
图像算法工程师,1.5万-2.6万 · 14薪,杭州-萧山,3-5年,本科,Python,杭州集益科技有限公司,http://jobs.zhaopin.com/CC183778810J40457513402.htm?refcode=4019&srccode=401901&preactionid=8cb333b7-7223-478d-920a-3bf9300850b6
算法工程师,3万-3.5万 · 16薪,杭州-余杭,3-5年,本科,视觉图像算法、推荐算法,广州秒到信息科技有限公司,http://jobs.zhaopin.com/CCL1257043630J40494412203.htm?refcode=4019&srccode=401901&preactionid=8cb333b7-7223-478d-920a-3bf9300850b6
视觉算法工程师/专家（精度/摄影测量方向）,4万-7万 · 16薪,杭州-滨江,5-10年,硕士,视觉图像算法、智能制造、智能机器人、移动机器人、VR/AR、视觉算法、精度测量,北京尚贤致达管理咨询有限公司,http://jobs.zhaopin.com/CC864361710J40490026509.htm?refcode=4019&srccode=401901&preactionid=8cb333b7-7223-478d-920a-3bf9300850b6
电机算法工程师,1.2万-2.4万,杭州-余杭,1-3年,本科,DSP开发,润丰创芯智能科技(浙江)有限公司,http://jobs.zhaopin.com/CCL1411336290J40422867308.htm?refcode=4019&srccode=401901&preactionid=8cb333b7-7223-478d-920a-3bf9300850b6
控制算法软件工程师（应届生）,1.6万-3万 · 15薪,杭州-西湖,经验不限,硕士,嵌入式、算法、控制算法,浙江艾罗网络能源技术股份有限公司,http://jobs.zhaopin.com/CC477300720J40126689604.htm?refcode=4019&srccode=401901&preactionid=8cb333b7-7223-478d-920a-3bf9300850b6
