职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据分析岗,5千-8千,丽水,无经验,本科,销售数据分析、金融数据分析,新华人寿保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC148860520J40462812812.htm?refcode=4019&srccode=401901&preactionid=f5a19fd2-8f48-45af-acda-721a1ab7e99d
后端开发工程师,8千-1.6万,丽水-莲都区,1-3年,大专,Java、SPRINGBOOT,浙江中通文博服务有限公司,http://jobs.zhaopin.com/CC456117420J40507743605.htm?refcode=4019&srccode=401901&preactionid=f5a19fd2-8f48-45af-acda-721a1ab7e99d
全栈工程师,8千-1.3万,丽水-莲都区,3-5年,本科,GoLang、Vue、Python、UNIAPP、MySQL,丽水市巷味社智能制造有限公司,http://jobs.zhaopin.com/CCL1478013930J40479038113.htm?refcode=4019&srccode=401901&preactionid=f5a19fd2-8f48-45af-acda-721a1ab7e99d
研发工程师/软件工程师,6千-1.2万,丽水-莲都区,经验不限,本科,51单片机、PIC单片机、ARM处理器,浙江中广电器集团股份有限公司,http://jobs.zhaopin.com/CCL1390368790J40487440816.htm?refcode=4019&srccode=401901&preactionid=f5a19fd2-8f48-45af-acda-721a1ab7e99d
安全运营服务工程师-丽水,1.4万-1.5万,丽水-莲都区,3-5年,本科,Java、Python、Golang、IDS、APT、防火墙、威胁情报分析平台、具备安全运营平台运营或建设经验、漏洞扫描、修复、上报完成漏洞闭环、网络、系统进行安全渗透测试,丰沃创新(北京)科技有限公司,http://jobs.zhaopin.com/CC454917820J40505982405.htm?refcode=4019&srccode=401901&preactionid=f5a19fd2-8f48-45af-acda-721a1ab7e99d
