职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接,市,关键字,最低工资,最高工资
数据科学家,1.2万-2.4万,临平,5-10年,硕士,SQL、R语言、Python、统计学、数据分析、数据挖掘、数据建模,重庆爱永星辰标准医药服务有限公司,http://jobs.zhaopin.com/CC848313620J40476523009.htm?refcode=4019&srccode=401901&preactionid=a1555d9b-c4fa-4b7d-be86-2f13e5320727,杭州,python,12000.0,24000.0
网易-游戏测试DZ,7千-1.3万 · 13薪,滨江,1-3年,本科,Python、手游测试、页游测试、功能测试、UGC游戏、海外发行游戏,北京外企德科人力资源服务深圳有限公司,http://jobs.zhaopin.com/CC157144120J40507756408.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,7583.333333333334,14083.333333333332
ETL工程师（杭州）(J10978),1万-1.5万,萧山,1-3年,本科,ETL、DataStage、Kettle、DB2、数据开发、报表开发、Informatica、FineBI,先进数通,http://jobs.zhaopin.com/CC000432190J40262686816.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,10000.0,15000.0
软件测试工程师,7千-1.2万,滨江,经验不限,本科,功能测试、自动化测试、性能测试、Python、WEB接口、UI自动化,浙江天垂科技有限公司,http://jobs.zhaopin.com/CC466235480J40492881611.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,7000.0,12000.0
杭州测试 (诸葛) AI面试-短期8个月,1.2万-1.3万,滨江,3-5年,大专,功能测试、自动化测试、安全测试、Java、Javascript、Python、Postman、禅道、Fiddler,上海正诺信息科技有限公司,http://jobs.zhaopin.com/CC682919930J40532594607.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,12000.0,13000.0
java软件开发工程师,8千-1万,上城,1-3年,大专,Redis、Oracle、MySQL、Python、Javascript,北京举贤双高企业管理有限公司,http://jobs.zhaopin.com/CC446151030J40525636907.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,8000.0,10000.0
赴日软件开发工程师,1.5万-3万,杭州,1-3年,本科,Java、PHP、Python、HTML、CSS、SQL、软件工程师、全栈开发,株式会社データワンテクノロジー,http://jobs.zhaopin.com/CC837893160J00273664505.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,15000.0,30000.0
服务器开发工程师,8千-1.3万 · 14薪,滨江,1-3年,本科,Python、NODEJS,滨江兄弟信息技术(杭州)有限公司,http://jobs.zhaopin.com/CC335923910J40505658103.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,9333.333333333332,15166.666666666666
测试工程师,1.2万-1.9万 · 13薪,滨江,1-3年,本科,自动化测试、Python,北京联龙博通电子商务技术有限公司,http://jobs.zhaopin.com/CC120407450J40405033407.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,13000.0,20583.333333333332
数据挖掘算法工程师,2万-4万 · 16薪,余杭,经验不限,硕士,Python、机器学习、深度学习、数据挖掘、Java、Hive,成都韬普讯企业管理服务有限公司,http://jobs.zhaopin.com/CCL1282387760J40498424003.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,26666.666666666668,53333.333333333336
