职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
NLP算法工程师（不加班不倦）,2.5万-5万 · 15薪,杭州-西湖,经验不限,本科,文本挖掘、语义分析、文本分类、机器阅读理解、机器翻译、自动问答、智能客服、聊天机器人、知识图谱、TensorFlow、PyTorch,上海猎猫猫企业管理有限公司,http://jobs.zhaopin.com/CC831008540J40486474716.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae
机器视觉软件算法工程师,1.5万-2.5万 · 13薪,杭州-萧山,1-3年,本科,图像检测识别、OpenCV、C/C++、工业视觉检测、缺陷检测,杭州科百特过滤器材有限公司,http://jobs.zhaopin.com/CC143272750J40492037608.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae
雷达算法博士后,2.3万-2.7万 · 16薪,杭州-滨江,经验不限,博士,,北京航空航天大学杭州创新研究院,http://jobs.zhaopin.com/CC812993830J40538528001.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae
图像算法工程师,1.5万-2.2万,杭州-滨江,经验不限,硕士,,深圳海思安生物技术有限公司,http://jobs.zhaopin.com/CC842705430J40536265501.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae
（杭州研发中心）图像算法工程师,1.5万-2.5万 · 14薪,杭州,1-3年,本科,C#、嵌入式、MySQL数据库、深度学习,厦门亿联网络技术股份有限公司,http://jobs.zhaopin.com/CC144503487J00150372505.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae
计算机视觉算法工程师（费铮豪PI）-生物微纳感知创新工坊,8千-1.5万,杭州-萧山,经验不限,硕士,视觉图像算法、运动控制算法,浙江大学杭州国际科创中心,http://jobs.zhaopin.com/CCL1242292110J40446372704.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae
算法工程师,1.5万-3万,杭州-余杭,3-5年,大专,PyTorch,北京霍因科技有限公司,http://jobs.zhaopin.com/CC608050080J40496061402.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae
（杭州研发中心）视频编解码工程师,1.5万-2.5万 · 14薪,杭州-西湖,经验不限,本科,算法、CODEC、H.264/H.263/VP8、CODEC相关,厦门亿联网络技术股份有限公司,http://jobs.zhaopin.com/CC144503487J90250363000.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae
算法工程师,1.5万-2万,杭州-滨江,1-3年,本科,,万宝盛华企业管理咨询(上海)有限公司大连分公司,http://jobs.zhaopin.com/CC880319660J40594941315.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae
深度学习算法工程师,1万-2万,杭州-余杭,经验不限,本科,,睿魔智能科技(深圳)有限公司,http://jobs.zhaopin.com/CC808131320J40505944103.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae
