职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
生物信息工程师,9千-1.1万,杭州-余杭,经验不限,硕士,基因组学、转录组学、表观组学、甲基化组学、R语言、C语言、C++、Python、Perl、基因测序、单细胞,浙江大学,http://jobs.zhaopin.com/CC199796410J40442023804.htm?refcode=4019&srccode=401901&preactionid=c7415bd9-2325-4d7b-b001-c0c29f0b2b72
游戏测试-75/网易杭州,8千-1.2万 · 13薪,杭州-滨江,3-5年,本科,Python、手游测试、页游测试、第三人称射击类、第一人称射击类,北京外企德科人力资源服务深圳有限公司,http://jobs.zhaopin.com/CC157144120J40507705808.htm?refcode=4019&srccode=401901&preactionid=c7415bd9-2325-4d7b-b001-c0c29f0b2b72
软件开发工程师/测试,1.6万-3万,杭州-滨江,经验不限,本科,Java、Python、C++、C,外企德科,http://jobs.zhaopin.com/CC138117190J40439727805.htm?refcode=4019&srccode=401901&preactionid=c7415bd9-2325-4d7b-b001-c0c29f0b2b72
AIGC高级工程师,2万-4万 · 16薪,杭州-余杭,经验不限,本科,PyTorch、Python、计算机视觉,成都韬普讯企业管理服务有限公司,http://jobs.zhaopin.com/CCL1282387760J40498428203.htm?refcode=4019&srccode=401901&preactionid=c7415bd9-2325-4d7b-b001-c0c29f0b2b72
软件测试工程师短视频社交方向 双休包三餐,1万-1.2万,杭州-余杭,1-3年,大专,自动化测试、功能测试、性能测试、Python、直播、短视频,慧博云通科技股份有限公司,http://jobs.zhaopin.com/CCL1254757260J40510501805.htm?refcode=4019&srccode=401901&preactionid=c7415bd9-2325-4d7b-b001-c0c29f0b2b72
图像算法工程师（工作地点：浙江嘉兴）,2.2万-4万 · 15薪,杭州-滨江,3-5年,硕士,Python、图像处理、图像检测识别、人脸识别产品、视觉图像算法、自动驾驶,嘉兴真与科技有限责任公司,http://jobs.zhaopin.com/CCL1388980520J40483481104.htm?refcode=4019&srccode=401901&preactionid=c7415bd9-2325-4d7b-b001-c0c29f0b2b72
大模型算法工程师,3万-4.5万 · 16薪,杭州-余杭,3-5年,硕士,Python、Java、机器学习、深度学习、统计分析、Hive、Hadoop,大连优利莱信息技术有限公司,http://jobs.zhaopin.com/CC630289130J40530224201.htm?refcode=4019&srccode=401901&preactionid=c7415bd9-2325-4d7b-b001-c0c29f0b2b72
java车企,1.2万-1.5万,杭州-萧山,3-5年,本科,后端开发、大数据开发、Java、Python、SQL,深圳南区人瑞人力资源服务有限公司,http://jobs.zhaopin.com/CCL1289361510J40448837701.htm?refcode=4019&srccode=401901&preactionid=c7415bd9-2325-4d7b-b001-c0c29f0b2b72
软件测试工程师,9千-1.3万 · 13薪,杭州-滨江,1-3年,本科,自动化测试、Python、Java,武汉讯锡云科技有限公司,http://jobs.zhaopin.com/CC566069530J40192081805.htm?refcode=4019&srccode=401901&preactionid=c7415bd9-2325-4d7b-b001-c0c29f0b2b72
软件开发工程师,1.5万-3万,杭州-滨江,经验不限,本科,C++、C、Python、Spring、MySQL,外企德科,http://jobs.zhaopin.com/CC138117190J40505038905.htm?refcode=4019&srccode=401901&preactionid=c7415bd9-2325-4d7b-b001-c0c29f0b2b72
