职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
python后端开发工程师,1.5万-3万,杭州-滨江,经验不限,本科,Django、Python、Flask、REDIS/FASTAPI、容器技术,浙江天垂科技有限公司,http://jobs.zhaopin.com/CC466235480J40492880911.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
编程教师/Python教师,1万-1.5万,杭州-西湖,1-3年,本科,Python、C/C++,新东方教育科技集团有限公司,http://jobs.zhaopin.com/CC120002360J40316357402.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
Python,8千-1万 · 14薪,杭州-西湖,1-3年,大专,Python、MySQL数据库,杭州星溢科技有限公司,http://jobs.zhaopin.com/CCL1351874340J40186385802.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
Python后端工程师,1.5万-3万,杭州-滨江,3-5年,本科,Redis、MySQL、微服务架构、Python web框架,浙江天垂科技有限公司,http://jobs.zhaopin.com/CC466235487J90250002000.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
数据分析助理（双休，入职缴纳五险）,9千-1.3万 · 13薪,杭州-上城,1-3年,本科,Python,杭州博盛达信息技术有限公司,http://jobs.zhaopin.com/CCL1442672500J40368995516.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
python数据分析师,1.5万-2万,杭州-临平,3-5年,本科,Python、MYSQL，NAVICAT,杭州熵运数据科技有限公司,http://jobs.zhaopin.com/CCL1408006890J40499186906.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
Python开发工程师,8千-1.3万 · 13薪,杭州-上城,1年以下,大专,,北京金巴顺漾科技有限公司,http://jobs.zhaopin.com/CCL1476154210J40504704410.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
数据分析助理（双休，入职缴纳五险）,9千-1.3万 · 13薪,杭州-余杭,1-3年,本科,Python,杭州博盛达信息技术有限公司,http://jobs.zhaopin.com/CCL1442672500J40368995616.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
数据分析师（应届/实习皆可）,1万-1.5万,杭州-西湖,经验不限,本科,Python、SQL、NumPy、Pandas、商业数据分析、销售数据分析、金融数据分析、风控数据分析,浙江创邻科技有限公司,http://jobs.zhaopin.com/CC426826130J40509849310.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
数据分析师助理,8千-1.6万 · 13薪,杭州-余杭,1-3年,本科,SQL、Python、Scala、SPSS,江西兴峰洋信息科技有限公司,http://jobs.zhaopin.com/CCL1464267660J40439247211.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
Python,1.1万-1.6万,杭州-西湖,经验不限,本科,MySQL,上海优泉人力资源有限公司,http://jobs.zhaopin.com/CC649562030J40508883610.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
Python,1.2万-2.4万 · 14薪,杭州,经验不限,学历不限,PyTorch、Python,箴理科技(杭州)有限责任公司,http://jobs.zhaopin.com/CCL1475429960J40495642005.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
数据分析师（算法研究方向）,8千-1.2万元/月,杭州-钱塘,经验不限,本科,Python、R语言、MATLAB、机器学习、深度学习,杭州拓端数据科技有限公司,http://jobs.zhaopin.com/CC428769630J40503200401.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
浙江大学脑医学影像实验室数据分析岗招聘公告,8千-9千,杭州-上城,经验不限,本科,Python、MATLAB,浙江大学,http://jobs.zhaopin.com/CC199796410J40467144704.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
Python开发工程师,1万-2万,杭州-滨江,经验不限,本科,Python、C++、PYTHON自动化脚本、白盒测试、测试代码、组件接口测试、系统级测试、PV级测试,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40319586716.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
Python软件工程师,1.6万-2.5万 · 15薪,杭州-西湖,5-10年,本科,Python,浙江艾罗网络能源技术股份有限公司,http://jobs.zhaopin.com/CC477300720J40075395004.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
数据分析师,面议,杭州,经验不限,本科,Python、销售数据分析,杭州中美华东制药有限公司,http://jobs.zhaopin.com/CC198426920J40440471510.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
数据分析师,1万-1.2万,杭州-滨江,经验不限,大专,数据挖掘、数据建模、数仓开发、Python、R语言、Sql,上海睿笙智镜科技有限公司,http://jobs.zhaopin.com/CCL1472228780J40479845104.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
python开发工程师,9千-1.8万,杭州-临平,5-10年,本科,MySQL、Python、PostgreSQL、Django、Tornado,重庆爱永星辰标准医药服务有限公司,http://jobs.zhaopin.com/CC848313620J40515753109.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
少儿编程讲师（Python）,1万-2万,杭州-拱墅,经验不限,本科,授课老师、Python、线下教育,杭州幻码教育科技有限公司,http://jobs.zhaopin.com/CC817222120J40116913606.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
数据分析师,8千-1.5万,杭州,经验不限,大专,Python、SQL、商业数据分析、Power BI、Tableau,东莞市黄沙电子科技有限公司,http://jobs.zhaopin.com/CC217802330J40424452710.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
数据分析,1.4万-2.8万 · 13薪,杭州-西湖,1-3年,本科,Python,中电金信软件有限公司,http://jobs.zhaopin.com/CC443657520J40461834909.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
Python工程师,8千-1.6万,杭州-西湖,3-5年,本科,Python、Flask、前端开发、MySQL、微服务架构,杭州雅格新创科技有限公司,http://jobs.zhaopin.com/CC832784490J40272288116.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
python开发程师,8千-1.5万,杭州-余杭,经验不限,学历不限,Django、Linux、SQL,杭州慧简医疗科技有限公司,http://jobs.zhaopin.com/CC273756884J90250052000.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
bi数据分析师（数字园区+大厂+五险一金）,1.2万-1.6万 · 14薪,杭州-西湖,3-5年,本科,SQL、Python、excel、Power BI、商业数据分析、运营数据分析,外企德科,http://jobs.zhaopin.com/CC138117190J40506431405.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
财险浙江-业务管理部-经营分析岗,6千-8千,杭州-上城,1-3年,本科,Python、Java、SQL、商业数据分析、销售数据分析、金融数据分析、行业分析,太平财产保险有限公司浙江分公司,http://jobs.zhaopin.com/CC366243110J40447563203.htm?refcode=4019&srccode=401901&preactionid=1971e205-d3ea-4fc2-ad16-c6fb807f495d
