职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
对日cobol软件开发工程师,1万-1.5万,杭州,经验不限,学历不限,COBOL,杭州优灿科技有限公司,http://jobs.zhaopin.com/CC272317033J00193143708.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
NLP自然语言处理工程师,1.4万-1.8万,杭州-余杭,1-3年,本科,Python、TensorFlow、文本分析、PyTorch,杭州凡龙科技有限公司,http://jobs.zhaopin.com/CC187199520J40004768215.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
机器视觉工程师,1.5万-3万,杭州-萧山,1-3年,本科,C++、图像识别产品、OpenCV、机器视觉、传统工业,杭州科百特过滤器材有限公司,http://jobs.zhaopin.com/CC143272750J40511848408.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
机器学习工程师,1万-2万,杭州-上城,1-3年,本科,图像算法、机器视觉,杭州声能科技有限公司,http://jobs.zhaopin.com/CC846177980J40540989601.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
视觉工程师14-16薪,1万-2万 · 14薪,杭州-钱塘,3-5年,本科,运动控制算法、Halcon、SHERLOCK、C/C++、C#、工业视觉检测、上位机、视觉定位,济南好前程信息咨询服务有限公司,http://jobs.zhaopin.com/CCL1216535670J40466195307.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
机器视觉工程师,1万-1.5万 · 13薪,杭州-萧山,1-3年,本科,OpenCV、C/C++、缺陷检测、工业视觉检测,杭州科百特过滤器材有限公司,http://jobs.zhaopin.com/CC143272750J40492036708.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
图像软件工程师,1.2万-2万,杭州,3-5年,本科,图像处理、机器视觉、图像增强、图像分析、图像检测、视频图像,浙江啄云智能科技有限公司,http://jobs.zhaopin.com/CC846310970J40215373406.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
AI运维工程师（HW外包，全额社保公积金）,1.5万-2.5万 · 14薪,杭州-滨江,经验不限,本科,C++、Python、C语言、机器视觉、图像算法、图像、AI,外企德科,http://jobs.zhaopin.com/CC138117190J40512579105.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
机器视觉工程师,8千-1万,杭州-钱塘,3-5年,本科,,上海轩田半导体设备有限公司,http://jobs.zhaopin.com/CCL1407095150J40419586207.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
AIGC高级工程师,2万-4万 · 16薪,杭州-余杭,经验不限,本科,PyTorch、Python、计算机视觉,成都韬普讯企业管理服务有限公司,http://jobs.zhaopin.com/CCL1282387760J40498428203.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
图像测试工程师,1万-1.5万,杭州-西湖,1-3年,本科,图像处理,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40490983616.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
人工智能（博士）,3万-5.5万,杭州-拱墅,5-10年,博士,数据分析、自然语言处理、数据挖掘、Java、Python、SQL、C语言、机器视觉、Caffe、mindspore,杭州客原网络科技集团有限公司,http://jobs.zhaopin.com/CCL1477245810J40474237413.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
机器视觉工程师（应届）,1.3万-1.8万 · 14薪,杭州-钱塘,经验不限,硕士,电气工程师、LabVIEW,杭州沃镭智能科技股份有限公司,http://jobs.zhaopin.com/CC346054610J40359400906.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
技术研发岗,2.5万-4万,杭州-余杭,1-3年,本科,自然语言处理,伯恩锐斯科技(合肥)有限公司,http://jobs.zhaopin.com/CCL1477101690J40472339813.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
图像处理工程师,1万-2万,杭州-临安,3-5年,本科,,杭州立安飞科技有限公司,http://jobs.zhaopin.com/CCL1312974420J40474587414.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
人工智能/云计算讲师（兼职）,1万-1.5万,杭州,经验不限,学历不限,,浙江十越科技有限公司,http://jobs.zhaopin.com/CCL1477939970J40511877303.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
深度学习研究专家,3万-6万,杭州,经验不限,博士,人工智能、网络安全、深度学习,杭州市滨江区浙工大网络空间安全创新研究院,http://jobs.zhaopin.com/CCL1438627770J40468789003.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
机器视觉工程师,1.9万-3万 · 15薪,杭州-萧山,3-5年,本科,C++、机械制造,杭州科百特过滤器材有限公司,http://jobs.zhaopin.com/CC143272750J40421327308.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
机器视觉工程师,7千-8千,杭州,经验不限,学历不限,视觉标定、视觉定位、立体视觉、图像检测识别、图像处理、工业视觉检测、工业机器人、缺陷检测,利珀科技,http://jobs.zhaopin.com/CC540066220J40422416502.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
视觉专家,5万-10万,杭州-上城,10年以上,本科,机器人,南京敲门人科技有限公司,http://jobs.zhaopin.com/CCL1441836220J40546479412.htm?refcode=4019&srccode=401901&preactionid=ca9a82f0-538d-4aa8-a9bc-703e8e17b927
