职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
销售数据分析经理,7千-9千 · 15薪,嘉兴-秀洲区,3-5年,本科,Power BI,浙江五芳斋实业股份有限公司,http://jobs.zhaopin.com/CC537972620J40476347504.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
数据分析专员,1.2万-1.3万,嘉兴-南湖区,经验不限,大专,,四川锦蓉川吉科技有限公司,http://jobs.zhaopin.com/CCL1231911560J40524447407.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
ETL工程师（嘉兴）,1万-1.8万,嘉兴-南湖区,3-5年,本科,DataStage、Informatica、SQL、Shell、数据开发、数据清洗、报表开发、Oracle,先进数通,http://jobs.zhaopin.com/CC000432190J40432496816.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
统计分析员实习生（SA Intern）-漯河（2024校招）,110-150/天,嘉兴-南湖区,无经验,本科,SAS、Eviews、多元统计分析、因子分析、主成份分析、回归算法、方差分析、R语言、Python、SPSS、聚类算法,泰格医药,http://jobs.zhaopin.com/CC245090110J40474154602.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
数据专员,4千-5千,嘉兴-秀洲区,经验不限,大专,电商数据运营、经营数据分析、策略运营,浙江日日隆科技有限公司,http://jobs.zhaopin.com/CCL1357869970J40472666913.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
数据分析（品质spc方向）,7千-9千,嘉兴-海宁市,1-3年,本科,SPC,新艺机电,http://jobs.zhaopin.com/CC286107310J40486946511.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
数据分析岗/数据运营,6千-1.2万,嘉兴-桐乡市,1-3年,本科,,华润置地,http://jobs.zhaopin.com/CC358101520J40496359505.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
大数据可视化研发工程师,6千-1.2万 · 13薪,嘉兴-秀洲区,经验不限,本科,Canvas、WebGL、Echarts、Three.js、MXGRAPH、ElementUI、Bootstrap、Vue,嘉兴市翼马科技有限公司,http://jobs.zhaopin.com/CCL1359645130J40202109013.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
临床数据管理员,5千-8千 · 13薪,嘉兴-南湖区,1-3年,本科,CRO、DM、CRF、DVP,德达医药技术(南京)有限公司,http://jobs.zhaopin.com/CC854586960J40363832210.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
产品经理,1万-2万,嘉兴,1年以下,本科,在线教育产品、数据产品、人工智能产品、市场调研、需求分析、数据分析,嘉兴梦兰电子科技有限公司,http://jobs.zhaopin.com/CC288252730J40023780012.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
光谱分析工程师,1万-2万,嘉兴-秀洲区,1-3年,本科,运营数据分析、光谱仪,贝恩讯谱光电科技(北京)股份有限公司,http://jobs.zhaopin.com/CC662761020J40310258809.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
数据统计员,6千-7千,嘉兴-秀洲区,无经验,大专,数据统计分析,德邦物流,http://jobs.zhaopin.com/CC156976020J40376795816.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
统计师实习生(SA Intern)-嘉兴(2024校招),110-150/天,嘉兴-南湖区,无经验,硕士,CRO、生物统计、统计学、SAS、流行病与卫生统计、临床数据分析,泰格医药,http://jobs.zhaopin.com/CC245090110J40475263502.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
商品助理,5千-6千,嘉兴-海宁市,无经验,本科,库存管理经验、时尚服饰、货品调拨、商品管理、数据分析,安正时尚集团股份有限公司上海分公司,http://jobs.zhaopin.com/CC358911410J40591266015.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
运营工程师,6千-8千,嘉兴-海宁市,1-3年,本科,运营数据分析、财务数据分析,晶科能源,http://jobs.zhaopin.com/CC223723910J40387090411.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
数据工程师,5千-9千,嘉兴-桐乡市,1-3年,大专,数据库、数据库开发、数据挖掘、数据处理、数据分析,浙江中测时空科技有限公司,http://jobs.zhaopin.com/CC270162580J40418228802.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
网络分析或统计博士后,8千-1万,嘉兴-南湖区,经验不限,博士,交通管理、统计相关学科,浙江清华长三角研究院,http://jobs.zhaopin.com/CC140828040J40551216812.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
产品经理,1.5万-2万,嘉兴,3-5年,本科,市场调研、需求分析、产品规划、数据分析,浙江美大实业股份有限公司,http://jobs.zhaopin.com/CC502348920J40463239112.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
供应链管理岗(J10172),6千-1万,嘉兴-桐乡市,经验不限,本科,运输计调、数据分析,振石控股集团,http://jobs.zhaopin.com/CC162034410J40487018902.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
天猫平台运营经理,7千-1.2万 · 17薪,嘉兴-秀洲区,5-10年,本科,淘宝/天猫、数据分析,浙江五芳斋实业股份有限公司,http://jobs.zhaopin.com/CC537972620J40476250204.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
驻站工程师（嘉兴）,5千-6千,嘉兴-南湖区,1-3年,本科,环境或者化学专业、数据分析、有驾照会开车,杭州绿洁科技股份有限公司,http://jobs.zhaopin.com/CC337751430J40526791107.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
生产计划数据经理,1.1万-1.8万 · 13薪,嘉兴-南湖区,5-10年,大专,生产成本管理、生产质量管理、生产物料管理、食品行业、数据分析、MES,洛菲实业有限公司,http://jobs.zhaopin.com/CCL1251950050J40549110714.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
生产计划员（嘉兴）,5千-8千 · 13薪,嘉兴-南湖区,1-3年,大专,数据分析、机电、SAP系统,耐驰(兰州)泵业有限公司,http://jobs.zhaopin.com/CC175296320J40489966416.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
货品专员（商品运营）,7千-1.2万 · 13薪,嘉兴-海宁市,1-3年,大专,门店销售运营、产品运营、数据分析、运营专员、销售教据运营、门店运营、销售运营,安正时尚集团股份有限公司上海分公司,http://jobs.zhaopin.com/CC358911410J40327775715.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
运营经理/销售管理/连锁店运营,1万-1.5万,嘉兴-南湖区,3-5年,大专,运营管理、市场营销、加盟管理、巡店管理、门店管理、业务培训、人员管理、岗位培训、数据分析、市场信息收集,浙江未来万家五金机电有限公司,http://jobs.zhaopin.com/CC443980210J40530602812.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
门店督导,6千-8千 · 13薪,嘉兴-南湖区,1-3年,大专,食品/饮料、连锁品牌经验、数据分析、沟通表达良好,绝味食品,http://jobs.zhaopin.com/CC144201620J40375578009.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
价值交付工程师（产品经理）,9千-1.6万 · 13薪,嘉兴-嘉善县,无经验,硕士,需求分析、产品规划、市场调研、数据分析、储备干部,深圳市澳华集团股份有限公司,http://jobs.zhaopin.com/CC221587610J40420906903.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
服装企划,1.5万-2万,嘉兴-海宁市,经验不限,学历不限,服装、数据分析、市场分析、企划、市场调研,南方新华,http://jobs.zhaopin.com/CC346219280J40485836211.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
BI Specialist/BI工程师,8千-1.5万,嘉兴-秀洲区,1-3年,本科,数据可视化、数据治理、数据挖掘、报表开发、Power BI、QuickBI、数据仓库、SQL,德沃康科技集团有限公司,http://jobs.zhaopin.com/CC426410710J40446813210.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
系统开发工程师,1万-1.5万,嘉兴-南湖区,1-3年,学历不限,Java、报表开发、ETL开发、数仓开发,浙江东江汽车控股集团有限公司,http://jobs.zhaopin.com/CC566257180J40441064001.htm?refcode=4019&srccode=401901&preactionid=1ede6c69-cb17-43a3-8e4a-49b2c9a02702
