职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
肯德基储备经理-欢迎应届生（台州地区）,5千-6千,台州-路桥区,经验不限,本科,前台接待、档案管理、办公用品管理,杭州肯德基,http://jobs.zhaopin.com/CC140408480J40197473308.htm?refcode=4019&srccode=401901&preactionid=7383b4bb-5c5d-4d71-af5a-cd02732cb3a2
市政资料员,6千-1万,台州-椒江区,经验不限,大专,,方远建设集团股份有限公司,http://jobs.zhaopin.com/CC153694110J40535663414.htm?refcode=4019&srccode=401901&preactionid=7383b4bb-5c5d-4d71-af5a-cd02732cb3a2
项目管理员,6千-1万,台州-仙居县,1-3年,本科,土建预算,仙琚制药,http://jobs.zhaopin.com/CC130196500J40449071304.htm?refcode=4019&srccode=401901&preactionid=7383b4bb-5c5d-4d71-af5a-cd02732cb3a2
编程老师（世界500强，双休，五险一金）,8千-1.3万,台州-路桥区,经验不限,本科,C/C++、Python、Scratch、授课老师、教研、教学管理、线下教育,浙江海亮素质教育科技有限公司,http://jobs.zhaopin.com/CCL1473775600J40585568615.htm?refcode=4019&srccode=401901&preactionid=7383b4bb-5c5d-4d71-af5a-cd02732cb3a2
生物研发工程师,8千-1.3万,台州-天台县,经验不限,硕士,生物研发、生物药、微生物发酵、微生物提取、食品添加剂,圣达生物,http://jobs.zhaopin.com/CC592860930J40531186812.htm?refcode=4019&srccode=401901&preactionid=7383b4bb-5c5d-4d71-af5a-cd02732cb3a2
Service Engineer,7千-9千 · 18薪,台州-椒江区,经验不限,学历不限,售后,阿特拉斯.科普柯（上海）贸易有限公司,http://jobs.zhaopin.com/CC000426260J40433721410.htm?refcode=4019&srccode=401901&preactionid=7383b4bb-5c5d-4d71-af5a-cd02732cb3a2
人力资源管理,5千-8千,台州-椒江区,经验不限,本科,,海螺水泥,http://jobs.zhaopin.com/CC150994110J40498771702.htm?refcode=4019&srccode=401901&preactionid=7383b4bb-5c5d-4d71-af5a-cd02732cb3a2
植保技术岗,6千-7千 · 13薪,台州,经验不限,本科,安全技术支持,顺毅股份有限公司,http://jobs.zhaopin.com/CCL1242211110J00495157008.htm?refcode=4019&srccode=401901&preactionid=7383b4bb-5c5d-4d71-af5a-cd02732cb3a2
采购管培生,6千-9千,台州-温岭市,经验不限,本科,,钱江摩托,http://jobs.zhaopin.com/CC136498590J40499485402.htm?refcode=4019&srccode=401901&preactionid=7383b4bb-5c5d-4d71-af5a-cd02732cb3a2
机械绘图员,5千-7千,台州-路桥区,无经验,本科,机械装配图、AutoCAD、SolidWorks,浙江万通重工有限公司,http://jobs.zhaopin.com/CC518514120J40500852002.htm?refcode=4019&srccode=401901&preactionid=7383b4bb-5c5d-4d71-af5a-cd02732cb3a2
