职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据清洗,5千-7千,杭州,1年以下,大专,数据清洗,杭州蓝聘网络技术有限公司,http://jobs.zhaopin.com/CCL1319002470J40444164710.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
数据分析工程师（五险一金、双休）,1万-1.6万,杭州-余杭,3-5年,本科,运营数据分析,山东华科信息技术有限公司,http://jobs.zhaopin.com/CC293762780J40461928602.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
中国移动正式员工-数据分析师,1.5万-3万,杭州-上城,3-5年,本科,数据治理、Sql、Python、R语言,浙江外服人力资源服务有限公司,http://jobs.zhaopin.com/CC559618430J40499361302.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
数据分析员,6千-8千,杭州-余杭,1-3年,本科,商业数据分析、销售数据分析、行业分析、excel、运营数据分析,喜爱宝(浙江)健康管理有限公司,http://jobs.zhaopin.com/CC818269140J40441176113.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
金融数据分析师,3万-6万 · 15薪,杭州-西湖,3-5年,硕士,证券数据分析、理财数据分析、SQL、BI智能工具、用户分析、流量分析、行业分析、互金数据分析,蚂蚁金服,http://jobs.zhaopin.com/CC494437180J40483182005.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
Python开发工程 全额六险一金 试用期不打折 接受应届毕业生,1.8万-2.8万 · 16薪,杭州-滨江,1-3年,本科,数据结构、Linux、Windows、Python、数据开发、数据分析、算法基础,外企德科,http://jobs.zhaopin.com/CC138117190J40331616105.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
数据助理/数据分析员（双休，可培养）,9千-1.5万,杭州-拱墅,1-3年,本科,,杭州新鼎汇信息技术有限公司,http://jobs.zhaopin.com/CCL1476613970J40501850205.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
商业数据分析师（宁波）,1.2万-1.5万,杭州-上城,经验不限,本科,数学/统计学专业、电商类产品、分析报告撰写、账号分析,宁波萌牙家科技有限公司,http://jobs.zhaopin.com/CC865780060J40487326104.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
交付工程师（售后）,9千-1.3万,杭州-滨江,1-3年,本科,订单交付、售后服务、供应链、海外订单、流程优化、数据分析、项目管理,浙江宇视科技有限公司,http://jobs.zhaopin.com/CC451534410J40257715714.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
数据分析师,1.2万-2.3万 · 15薪,杭州-西湖,3-5年,本科,数据分析、Python、MySQL、Oracle、数据清洗、SQL,亚信科技,http://jobs.zhaopin.com/CC139131340J40174908611.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
数据分析工程师（杭州）,1万-1.5万 · 15薪,杭州-西湖,1-3年,硕士,Python、MATLAB、环保、大气、臭氧、颗粒物,无锡中科光电技术有限公司,http://jobs.zhaopin.com/CC470818610J40380378102.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
运营助理+双休+包三餐+补贴,6千-9千,杭州-西湖,1-3年,大专,运营专员、店铺推广、电商活动运营、销售教据运营、线上数据运营、电商运营、数据分析,位来小猎(宁波)信息技术有限公司,http://jobs.zhaopin.com/CCL1320375780J40532949207.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
数据专员-杭州,5千-8千,杭州-上城,1-3年,大专,行业数据分析、经营数据分析,中联即送网络科技有限公司,http://jobs.zhaopin.com/CCL1256805620J40501492805.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
数据分析师,6千-1万,杭州-西湖,经验不限,大专,,北京中瓴时代科技有限公司,http://jobs.zhaopin.com/CCL1444495290J40590649915.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
经营分析师,1.5万-3万,杭州-上城,3-5年,本科,,牧原股份,http://jobs.zhaopin.com/CC495147320J40446686411.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
运营实习生,150-160/天,杭州,无经验,本科,运营专员、线上数据运营、C端用户运营、线上用户运营、会员体系运营、企业运营、公众号运营、数据分析,杭州掌读科技有限公司,http://jobs.zhaopin.com/CC516350080J40417037414.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
储能产品研发类（产品开发、项目数据分析方向,8千-1.4万,杭州-滨江,无经验,本科,,浙江耀宁科技集团有限公司,http://jobs.zhaopin.com/CCL1307825580J40537300401.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
数据分析师,6千-1.2万,杭州-拱墅,经验不限,本科,数据分析、SQL、MySQL,浙江天平会计师事务所(特殊普通合伙),http://jobs.zhaopin.com/CC603642830J40169195410.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
项目实施顾问,6千-1万,杭州,1-3年,大专,数据分析、数据传输、文字功底,杭州聚秀科技有限公司,http://jobs.zhaopin.com/CC650909830J40047541013.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
客服中心运营专员（数据分析）(A24156),9千-1.2万,杭州-滨江,3-5年,本科,数据监控,海亮集团,http://jobs.zhaopin.com/CC240203710J40480335211.htm?refcode=4019&srccode=401901&preactionid=89dab995-4b98-4cbd-8c6f-3e392249066a
