职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
嵌入式开发工程师,6千-8千 · 13薪,嘉兴-秀洲区,经验不限,本科,单片机,嘉兴道一传感科技有限公司,http://jobs.zhaopin.com/CC861136620J40496834516.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
嵌入式软件工程师（Linux驱动）,2万-3万,嘉兴-桐乡市,3-5年,本科,驱动开发、ARM系列、DSP系列,浙江同普医疗科技有限公司,http://jobs.zhaopin.com/CC859978810J40489928310.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
视觉调试+懂视觉软件,8千-1.1万,嘉兴-嘉善县,1-3年,大专,自动化设备、视觉设备、NPI项目、售后调试、机械制造、电路图,上海英锐网人力资源有限公司,http://jobs.zhaopin.com/CCL1369242150J40467999510.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
视觉调试工程师,8千-1.5万,嘉兴-平湖市,3-5年,大专,视觉定位、C#、缺陷检测、智能制造、Halcon、视觉标定、OpenCV、工业视觉检测,上海轩田半导体设备有限公司,http://jobs.zhaopin.com/CCL1407095150J40336617907.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
视觉工程师,1.2万-2.2万,嘉兴,3-5年,本科,视觉图像算法、运动控制算法、图形识别、图像处理、视觉定位、C/C++、工业视觉检测、工业机器人,砺铸智能设备(天津)有限公司,http://jobs.zhaopin.com/CC832571160J40437312511.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
图像处理工程师,1万-1.5万 · 13薪,嘉兴,3-5年,本科,图像处理,振石控股集团,http://jobs.zhaopin.com/CC162034410J40420888202.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
机器视觉工程师,1.5万-2.5万 · 13薪,嘉兴-平湖市,5-10年,本科,视觉定位、C#、智能制造、Halcon、视觉标定、OpenCV、工业机器人、工业视觉检测,上海轩田半导体设备有限公司,http://jobs.zhaopin.com/CCL1407095150J40336619307.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
【全国有缺口】视觉调试+懂视觉软件,8千-1.1万,嘉兴-嘉善县,1-3年,大专,自动化设备、视觉设备、NPI项目、售后调试、机械制造、电路图,上海英锐网人力资源有限公司,http://jobs.zhaopin.com/CCL1369242150J40511176310.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
C++机器视觉软件工程师,1.3万-2.6万,嘉兴-嘉善县,3-5年,本科,视觉图像算法、运动控制算法、立体视觉、图像检测识别、视觉标定、OpenCV、C/C++、C#,砺铸智能设备(天津)有限公司,http://jobs.zhaopin.com/CC832571160J40445324411.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
isp图像调试工程师,2万-2.4万,嘉兴-南湖区,1-3年,本科,图像处理、图形识别、视觉图像算法、医学影像、智能制造,嘉兴真与科技有限责任公司,http://jobs.zhaopin.com/CCL1388980520J40439939404.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
视觉工程师+房补+工龄奖,9千-1万,嘉兴-嘉善县,1-3年,中专/中技,自动化设备、视觉设备、NPI项目、售后调试、电路图、工业视觉检测、图像处理、视觉图像算法,上海英锐网人力资源有限公司,http://jobs.zhaopin.com/CCL1369242150J40511049410.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
自然语言处理岗实习生,250-350/天,嘉兴-南湖区,无经验,硕士,,浙江清华长三角研究院,http://jobs.zhaopin.com/CC140828040J40545273212.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
大语言模型开发实习生,4千-5千,嘉兴-平湖市,1-3年,本科,TensorFlow、PyTorch、Transformer,广东中科安齿生物科技有限公司,http://jobs.zhaopin.com/CC307416180J40428850008.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
视觉编程工程师,2万-4万,嘉兴-海宁市,5-10年,本科,视觉图像算法、图像检测识别、OpenCV、C#、C/C++、Python、工业机器人、工业视觉检测,斯美科智能制造(杭州)有限公司,http://jobs.zhaopin.com/CCL1454174390J40507046414.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
机器视觉工程师,1.5万-2万 · 15薪,嘉兴-海盐县,5-10年,本科,C#、VisionPro、MODBUSTCP,道一(天津)企业管理咨询有限公司青岛分公司,http://jobs.zhaopin.com/CCL1471056350J40492779716.htm?refcode=4019&srccode=401901&preactionid=dbf0d163-b62c-494c-9d9a-5287fc79f14e
