职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据治理主管 (MJ001860),1.1万-1.7万,杭州-钱塘,5-10年,本科,数据治理,三花控股,http://jobs.zhaopin.com/CC141761210J40484715601.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
DBA数据库工程师（北京总部-线上面试）,1.3万-1.8万,杭州-上城,3-5年,大专,,先进数通,http://jobs.zhaopin.com/CC000432190J40488095116.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
数据库工程师,1万-1.5万,杭州-西湖,3-5年,本科,Linux、MySQL、ACP,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40492602816.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
资深数据架构师,2.4万-3.5万,杭州-余杭,5-10年,硕士,Hadoop、Hive、基础架构、数据架构、数据安全、Java、Python、Shell,浙江希优信息科技有限公司,http://jobs.zhaopin.com/CC219838730J40555733314.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
高级算法工程师(搜索推荐方向),面议,杭州-滨江,3-5年,本科,推荐算法,吉利控股集团,http://jobs.zhaopin.com/CC000616940J40514077208.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
dba数据库工程师,2万-4万,杭州-上城,5-10年,本科,SQL、Python、Java、DB2、MCDBA,武汉星星人力资源有限公司,http://jobs.zhaopin.com/CCL1469798360J40500499006.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
SAP BASIS,1.5万-2.5万,杭州-上城,1-3年,大专,Windows、Linux、SQL Server、Oracle、DB2,杭州剑齿虎信息技术有限公司,http://jobs.zhaopin.com/CC476626320J40476220902.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
高级算法工程师-搜索算法/推荐算法/营销算法/用增算法等,2.5万-5万 · 16薪,杭州-余杭,1-3年,硕士,QUERY、搜索算法,四川达麦企业管理有限公司,http://jobs.zhaopin.com/CCL1239944790J40501305908.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
数据架构师,2万-2.5万,杭州-滨江,3-5年,本科,数据中台、数据架构、基础架构、Java、Hadoop、微服务架构、财务中台、电力行业,山东华科信息技术有限公司,http://jobs.zhaopin.com/CC293762780J40485614202.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
数据库运维工程师,2万-2.8万,杭州-滨江,3-5年,本科,Linux、Oracle、MySQL、SQL Server、PostgreSQL、MongoDB、DB2、数据库运维、Shell、Python,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40496405516.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
搜索算法工程师,2.5万-5万,杭州-上城,3-5年,硕士,C++、Java、Python、深度学习算法、自然语言处理、广告算法,四川达麦企业管理有限公司,http://jobs.zhaopin.com/CCL1239944790J40501314208.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
高级系统运维工程师,1.3万-1.6万,杭州-上城,3-5年,本科,Linux、Oracle、MongoDB、DB2、线下面试、MCDBA、MCSE、MCSA、OCP、OCA,金锐软件技术(杭州)有限公司,http://jobs.zhaopin.com/CCL1241563750J40489961011.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
数据库运维工程师,2万-2.8万,杭州-滨江,3-5年,本科,Shell、Python、SQL、Linux、Oracle、DB2、MySQL、Redis、DBA,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40496570216.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
高级系统运维工程师,1.3万-1.6万,杭州-萧山,3-5年,本科,Linux、Oracle、MongoDB、DB2、线下面试、MCDBA、MCSE、MCSA、OCP、OCA,金锐软件技术(杭州)有限公司,http://jobs.zhaopin.com/CCL1241563750J40489961111.htm?refcode=4019&srccode=401901&preactionid=ddd15da6-26bf-46b2-a5bf-979eb12085fe
