职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据采集工程师,1.5万-1.8万,宁波-鄞州,3-5年,本科,SCADA,博威合金,http://jobs.zhaopin.com/CC523879320J40532276507.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
BI,1.5万-2.5万 · 16薪,宁波-鄞州,1-3年,本科,数据仓库、数据挖掘、SQL,乐歌股份,http://jobs.zhaopin.com/CC353365010J40498533505.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
商业数据分析师（宁波）,1.2万-1.5万,宁波-鄞州,经验不限,本科,数学/统计学专业、电商类产品、分析报告撰写、账号分析,宁波萌牙家科技有限公司,http://jobs.zhaopin.com/CC865780060J40487326304.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
金融数据分析,2万-2.5万,宁波-鄞州,3-5年,本科,银行数据分析、贷款数据分析、基本面分析,兴业银行宁波分行,http://jobs.zhaopin.com/CC149173710J40473503805.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
大数据ETL工程师,1万-1.5万,宁波,3-5年,本科,Kettle、HANA、Hadoop、Hive、Impala,嘉仕软件江苏有限公司,http://jobs.zhaopin.com/CC595512520J40455870008.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
商业数据分析师,1.2万-1.3万,宁波-鄞州,经验不限,本科,电商、数学/统计学专业,宁波萌牙家科技有限公司,http://jobs.zhaopin.com/CC865780060J40432308204.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
算法工程师,1.5万-2.2万,宁波,经验不限,本科,Java、Python、算法基础、深度学习算法、数据挖掘、数据分析,宁波启山科技有限公司,http://jobs.zhaopin.com/CCL1328741550J40471041105.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
ETL工程师,1万-1.4万,宁波-鄞州,3-5年,本科,ETL、SQL、Shell、perl、Hive、Oracle、Greenplum、MySQL,天阳科技,http://jobs.zhaopin.com/CC120408370J40310831808.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
数据统计分析,4千-6千,宁波-鄞州,1-3年,本科,,宁波杰艾供应链管理有限公司,http://jobs.zhaopin.com/CC842543340J40587603715.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
高级etl工程师/大数据工程师,1.5万-2万 · 13薪,宁波-江北,5-10年,本科,Kettle、Informatica、SQL,嘉仕软件江苏有限公司,http://jobs.zhaopin.com/CC595512520J40492653508.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
高级算法工程师,1万-1.5万,宁波-鄞州,1-3年,本科,Python、C++、TensorFlow、数据挖掘、机器学习算法、深度学习算法、PyTorch、算法基础,宁波国际物流发展股份有限公司,http://jobs.zhaopin.com/CC268242910J40283836402.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
系统分析师,8千-1.5万,宁波-余姚,5-10年,大专,系统设计、新能源车,宁波一彬电子科技股份有限公司,http://jobs.zhaopin.com/CC402697820J40458867409.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
销售数据分析专员,6千-9千 · 13薪,宁波-鄞州,经验不限,本科,SQL、Python、R语言,宁波领拓沃供应链有限公司,http://jobs.zhaopin.com/CCL1293812770J40447818404.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
科技岗（社招）,1.7万-2.3万,宁波-鄞州,3-5年,本科,数据建模、Java、C语言、银行,鄞州银行,http://jobs.zhaopin.com/CC468807780J40529020207.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
数据标注分析,8千-1.2万,宁波-镇海,经验不限,大专,,上海微创软件股份有限公司,http://jobs.zhaopin.com/CC000638920J40549953014.htm?refcode=4019&srccode=401901&preactionid=97a438e5-fbc4-40c0-af5b-c354d8600f54
