职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
算法工程师,2万-4万 · 14薪,杭州-余杭,经验不限,本科,C++、Linux,弈芯科技(杭州)有限公司,http://jobs.zhaopin.com/CCL1361675880J40207490011.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
高级算法工程师,2万-4万,杭州-滨江,经验不限,硕士,导航算法、定位算法、运动控制算法、算法研究,湖南艾博特机器人技术有限公司,http://jobs.zhaopin.com/CC841519750J40589026615.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
人工智能算法工程师,2万-3万 · 13薪,杭州-拱墅,1-3年,本科,自然语言处理,浙江浙大网新图灵信息科技有限公司,http://jobs.zhaopin.com/CC120139780J40484242011.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
NLP算法工程师,1.8万-3.5万,杭州-临平,5-10年,硕士,NLP、LLM、智慧医疗、算法,重庆爱永星辰标准医药服务有限公司,http://jobs.zhaopin.com/CC848313620J40476530909.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
算法产品运营（外派网易双休）,9千-1.3万,杭州-滨江,1-3年,本科,AI模型训练,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40483618416.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
算法工程师,2.5万-5万 · 13薪,杭州-余杭,经验不限,博士,图像处理、缺陷检测、智能制造、C/C++、视觉图像算法、视觉标定、工业视觉检测、OpenCV,杭州汇萃智能科技有限公司,http://jobs.zhaopin.com/CC282322430J40302333502.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
算法工程师(A209070),2万-4万 · 14薪,杭州-滨江,3-5年,硕士,C++、FORTRAN、优化算法、光学模型计算,光科芯图(北京)科技有限公司,http://jobs.zhaopin.com/CCL1419461850J40491747005.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
算法工程师,1.2万-2.1万,杭州-临平,3-5年,本科,Python,广东钰顺数字科技有限公司,http://jobs.zhaopin.com/CCL1419120480J40490195616.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
图像算法工程师,2.5万-3.5万,杭州-西湖,3-5年,硕士,图像处理、PyTorch、TensorFlow、Caffe、OpenCV、视觉图像算法、C语言、C++、航空航天,南方新华,http://jobs.zhaopin.com/CC346219280J40460687011.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
算法工程师(A173540),1.5万-3万 · 14薪,杭州-滨江,经验不限,硕士,C++、MATLAB、Python、FORTRAN、优化算法,光科芯图(北京)科技有限公司,http://jobs.zhaopin.com/CCL1419461850J40491767705.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
信号处理算法工程师,1.5万-2万 · 14薪,杭州-余杭,经验不限,硕士,C语言、卡尔曼滤波、DSP,浙江飞航智能科技有限公司,http://jobs.zhaopin.com/CCL1393508010J40450496004.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
slam算法工程师,3万-5万 · 14薪,杭州-滨江,3-5年,本科,激光SLAM,中科创达软件股份有限公司,http://jobs.zhaopin.com/CC285451210J40493357211.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
AI算法工程师,2万-3万 · 13薪,杭州,3-5年,本科,深度学习、视觉图像算法,杭州思元智能科技有限公司,http://jobs.zhaopin.com/CC515442680J40204849902.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
算法应用工程师,2万-4万 · 14薪,杭州-钱塘,1-3年,硕士,,昂坤视觉,http://jobs.zhaopin.com/CC685860880J40461788704.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
无刷电机FOC矢量驱动控制/嵌入式驱动/算法软件工程师,5万-9万 · 15薪,杭州-滨江,5-10年,本科,嵌入式软件开发、C语言、驱动开发、单片机开发、无刷电机、FOC矢量控制、电机控制、驱动控制,浙江精通自动控制技术有限公司,http://jobs.zhaopin.com/CC343948910J40415366612.htm?refcode=4019&srccode=401901&preactionid=4a3e665a-1d67-466b-8c13-6a30edf177d2
