职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
市场调研评估员/市场调查员-浙江杭州,300-500元/天,杭州-萧山,经验不限,大专,市场调研、神秘顾客、兼职,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40482795816.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
研究员,1.2万-2.4万,杭州-上城,3-5年,硕士,区域金融产业发展及政策研究、数字经济或金融科技产业及政策研究、资产管理行业及政策研究、撰写研究报告、参与对外科研交流及合作、对接及承担委托研究任务、协助重大科研活动的协调组织、跟踪国内外相关行业前沿动态、提供行业创新性咨询意见,浙江省金融研究院,http://jobs.zhaopin.com/CC423250420J40277776402.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
大数据开发工程师（统本）,1.3万-1.8万,杭州-上城,3-5年,本科,数据中台、数仓开发、Hive、Spark,北京青钱信息技术有限公司,http://jobs.zhaopin.com/CC337626410J40500159010.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
外汇衍生品管理岗(J12061),2万-3.5万,杭州-上城,3-5年,本科,衍生品、外汇,浙江泰隆商业银行,http://jobs.zhaopin.com/CC602044220J40409938412.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
商品期货研究员/商品期货交易员-实习岗,150-200/天,杭州-上城,无经验,本科,基本面研究、期货研究,杭州中柏资产管理有限公司,http://jobs.zhaopin.com/CC710185830J40477963409.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
宏观研究员（需现场面试）,1.5万-2万,杭州-上城,经验不限,硕士,基本面研究、经济研究、政策研究,杭州德亚投资管理有限公司,http://jobs.zhaopin.com/CC703410330J40475715302.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
大数据开发工程师,1.1万-2.2万,杭州-拱墅,5-10年,本科,Python、Shell、Hadoop、Hive、DATAWORKS、MaxCompute、Spark、保险行业、OTS,北京灵信互动信息技术有限公司,http://jobs.zhaopin.com/CC139562960J40492506910.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
研发部实习生,120-170/天,杭州-拱墅,无经验,硕士,期货研究,上海浙石期货经纪有限公司,http://jobs.zhaopin.com/CC120338780J40242040502.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
问卷测试专员,4千-8千,杭州-滨江,经验不限,高中,市场研究、用户调研、行业研究、定性研究,杭州益铥科技有限公司,http://jobs.zhaopin.com/CCL1354944550J40488886716.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
数据开发工程师（3-4年经验）,9千-1万,杭州-上城,3-5年,本科,数据开发,山西慧德商务咨询有限公司,http://jobs.zhaopin.com/CCL1389295410J40583185515.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
实习管培生,150-200/天,杭州,无经验,本科,宏观分析,华西证券股份有限公司杭州学院路证券营业部,http://jobs.zhaopin.com/CC141867979J00418154806.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
大数据开发工程师,1.5万-1.7万,杭州-滨江,3-5年,大专,Java,山东智和创信息技术有限公司,http://jobs.zhaopin.com/CC461476710J40467080904.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
证券行业研究员（需现场面试）,1.5万-2万,杭州-上城,经验不限,硕士,股票市场、行业分析、公司分析、投资分析,杭州德亚投资管理有限公司,http://jobs.zhaopin.com/CC703410330J40475716402.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
数据开发工程师,1.8万-2.3万,杭州-滨江,5-10年,本科,ETL开发、数仓开发、DATAWORKS、HIVE SQL,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40484637706.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
海外行业分析师（五险一金+双休+免费单人住宿）,6千-1.2万,杭州-萧山,经验不限,本科,市场研究、行业研究、企业调研、数据分析,华瑞信息,http://jobs.zhaopin.com/CC461030710J40497972406.htm?refcode=4019&srccode=401901&preactionid=4969b6a6-5959-44e9-b18f-fca286fd97ca
