职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据产品经理,1.5万-2万,杭州-余杭,1-3年,本科,SQL、Hive、数据分析,杭州修正元宇科技股份有限公司,http://jobs.zhaopin.com/CCL1460276240J40459701904.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
数据产品经理（智慧园区行政数据+大厂直招+福利待遇好）,1.4万-1.6万 · 14薪,杭州-西湖,3-5年,本科,SQLite、MySQL、中台产品、需求分析、数据分析、Xmind、Axure,外企德科,http://jobs.zhaopin.com/CC138117190J40506429105.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
实习（咨询类）,100-180/天,杭州-西湖,无经验,本科,文案撰写、数据分析,浙江伟星文化发展有限公司,http://jobs.zhaopin.com/CC148520719J90250129000.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
【拉美】海外市场产品工程师,面议,杭州-滨江,1-3年,本科,其他小语种、海外产品、产品规划、数据分析、TO B、TO G,浙江大华,http://jobs.zhaopin.com/CC145470510J40554163614.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
酒管公司总部运营助理,6千-8千,杭州-上城,1-3年,本科,运营专员、酒店运营、数据分析,浙江舒悦酒店管理有限公司,http://jobs.zhaopin.com/CCL1200458290J40358632910.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
大区推广经理,1.5万-2.5万 · 13薪,杭州-上城,5-10年,本科,儿药、OTC推广、医药企业、推广策划、市场督导、市场调研、方案设计、活动执行、培训工作、数据分析,达因药业,http://jobs.zhaopin.com/CC000130670J40479191302.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
商品主管,9千-1.2万,杭州,1-3年,大专,数据分析 EXCLE,杭州美弘贸易有限公司,http://jobs.zhaopin.com/CC412800685J00331018205.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
电商产品经理,1.5万-2.5万 · 13薪,杭州-西湖,3-5年,本科,直播产品、后台产品、数据分析、用户增长、产品设计、产品规划、需求分析、TO C、TO B,杭州趣吧吧科技有限公司,http://jobs.zhaopin.com/CCL1469959720J40519346607.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
生物信息分析师,1万-2万 · 13薪,杭州-钱塘,3-5年,硕士,基因检测、生物信息、计算生物、生物信息软件开发、数据分析、建模、Linux,杭州奕真医学检验所有限公司,http://jobs.zhaopin.com/CC616039280J40441478407.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
充电桩产品经理,1.5万-2.5万,杭州-上城,5-10年,本科,人工智能产品、数据分析、市场开发、产品规划,浙江纽联科技有限公司,http://jobs.zhaopin.com/CC439210480J40440320710.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
商户运营专员,7千-1.2万,杭州-西湖,1-3年,本科,数据分析、整体运营、运营专员、楼面运营、商超运营、企业运营、运营经理、门店运营,杭州西湖投资集团有限公司,http://jobs.zhaopin.com/CC390527820J40281886815.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
社区团购运营助理,5千-8千,杭州-拱墅,1-3年,大专,数据分析、全职兼职均可、电商运营、社群运营、物流运营、行业数据分析、运营专员、运营助理,上海目邺实业有限公司,http://jobs.zhaopin.com/CCL1474374720J40492339806.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
食品产品经理,1.5万-2.5万,杭州-滨江,3-5年,本科,O2O产品、市场调研、产品规划、项目管理、产品团队管理、数据分析,杭州助美企业管理咨询有限公司,http://jobs.zhaopin.com/CC655929780J40404467809.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
市场销售,5千-1万,杭州-滨江,1-3年,大专,市场、市场拓展、市场分析、市场调研、市场推广、数据分析、面销,浙江新博源生物科技有限公司,http://jobs.zhaopin.com/CC363496020J40427179908.htm?refcode=4019&srccode=401901&preactionid=55a66634-1f7d-4f1c-b383-a539851e1476
