职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
水声信号处理算法工程师（博士专岗）,2.3万-3万,杭州-西湖,3-5年,博士,,中国船舶集团有限公司第七一五研究所,http://jobs.zhaopin.com/CC165194910J40498369010.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd
语言大模型算法工程师,2万-4万 · 13薪,杭州-余杭,经验不限,本科,PyTorch、大模型、NLP,深度好奇,http://jobs.zhaopin.com/CC753198770J40529768114.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd
图像算法工程师,1.5万-2.4万 · 15薪,杭州-余杭,经验不限,本科,视觉图像算法、图像处理、OpenCV、C++、C#、图像增强、图像分类、智能制造,芜湖英视迈智能科技有限公司,http://jobs.zhaopin.com/CCL1333737970J40400419509.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd
ai算法工程师,2万-3万,杭州-余杭,经验不限,本科,TensorFlow、自然语言处理、NLP、Transformer,诚迈科技,http://jobs.zhaopin.com/CC144543200J40515872115.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd
大语言模型算法工程师,1.8万-3.5万,杭州-滨江,经验不限,本科,文本分析、信息抽取、PyTorch、TensorFlow、Attention、Q-learning、机器阅读理解、聊天机器人、自动问答、Python、C++,浙江天垂科技有限公司,http://jobs.zhaopin.com/CC466235480J40492375711.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd
NLP算法工程师[大模型],2万-4万 · 15薪,杭州-滨江,1-3年,硕士,PyTorch、大模型、深度学习、机器学习,安恒信息,http://jobs.zhaopin.com/CC209879310J40533413107.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd
算法工程师,1万-2万,杭州-西湖,1-3年,本科,密码算法,杭州可腾微科技有限公司,http://jobs.zhaopin.com/CCL1265639580J40321523907.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd
大语言模型算法工程师,1.8万-3.5万,杭州-滨江,经验不限,硕士,大语言模型,浙江天垂科技有限公司,http://jobs.zhaopin.com/CC466235480J40492879811.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd
算法工程师,1.5万-2.5万,杭州-萧山,1-3年,硕士,PyTorch、Theano、PaddlePaddle,江苏瞭望神州大数据科技有限公司,http://jobs.zhaopin.com/CCL1266628910J40465431704.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd
人工智能算法工程师,1.2万-2.4万 · 14薪,杭州-滨江,1-3年,硕士,人脸识别、目标跟踪、图像处理、深度学习、人脸检测,爱谱华顿,http://jobs.zhaopin.com/CC131100140J40202847712.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd
