职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
运维工程师,1万-1.5万,杭州-西湖,5-10年,本科,服务器运维、系统运维、数据库运维、Docker、Vmware、Shell、Python、GO、ESXI PVE、Kafka、存储系统、SAN和NAS、linux,杭州明讯软件技术有限公司,http://jobs.zhaopin.com/CC233450010J40517058710.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
集成测试工程师,9千-1.4万,杭州,1-3年,本科,功能性测试、Python、自动化测试,先锋电子,http://jobs.zhaopin.com/CC138053910J40412159705.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
软件测试专家（光伏逆变器）,1.5万-3万,杭州-滨江,3-5年,本科,系统测试、Linux、Python、C/C++、白盒测试、黑盒测试、测试开发、APP测试,长盈精密,http://jobs.zhaopin.com/CC133233090J40417642401.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
nlp算法工程师（学信统本、五险一金、双休）,1.1万-2.1万,杭州-滨江,3-5年,本科,词法分析、文本分析、文本挖掘、PaddlePaddle、PyTorch、Python,山东华科信息技术有限公司,http://jobs.zhaopin.com/CC293762780J40469555602.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
测试工程师（英语口语优秀）,1.4万-2万,杭州-余杭,5-10年,本科,软件测试、Java、Python,慧博云通科技股份有限公司,http://jobs.zhaopin.com/CCL1254757260J40504960405.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
Java开发工程师,2.1万-3.5万 · 14薪,杭州-滨江,3-5年,本科,后端开发、Java、全栈开发、Python,外企德科,http://jobs.zhaopin.com/CC138117190J40346140105.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
nodejs开发工程师,1.2万-2万 · 13薪,杭州-西湖,3-5年,本科,PHP、JavaScript、Express、Node.js、软件工程师、后端开发、Python、Redis,杭州嘻游科技有限公司,http://jobs.zhaopin.com/CCL1400554780J40350341010.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
中级运维工程师,1.1万-1.3万,杭州-萧山,3-5年,本科,系统运维、Docker、Shell、Python,北京汉克时代科技有限公司,http://jobs.zhaopin.com/CC493150920J40557500814.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
软件测试工程师,1.4万-2.8万 · 14薪,杭州-滨江,经验不限,本科,测试开发、Shell、Python、C/C++、Linux、性能测试、安全测试、自动化测试,西安华为,http://jobs.zhaopin.com/CC450463880J40312881615.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
中级测试开发工程师,1万-1.9万 · 13薪,杭州-滨江,3-5年,本科,自动化测试、Selenium、Appium、Jmeter、Python、Java,北京联龙博通电子商务技术有限公司,http://jobs.zhaopin.com/CC120407450J40478565307.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
软件测试,1.1万-2万,杭州-滨江,3-5年,本科,自动化测试、Java、Javascript、Python、Shell,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40473546616.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
阿里-JAVA/NLP/前端,5万-10万,杭州-西湖,5-10年,本科,C++、Python、Java,道一(天津)企业管理咨询有限公司青岛分公司,http://jobs.zhaopin.com/CCL1471056350J40498731016.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
Java开发工程师 全额六险一金 试用期不打折 接受优秀应届生,2万-2.8万 · 16薪,杭州-滨江,1-3年,本科,后端开发、Java、Python、C++、SpringBoot、SpringCloud、分布式技术,外企德科,http://jobs.zhaopin.com/CC138117190J40330543805.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
运维工程师,1.1万-2万,杭州-滨江,3-5年,本科,Linux、Java、MySQL、Python、Shell、Nginx、Redis、Tomcat,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40466355216.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
高级测试开发工程师,3万-4万 · 16薪,杭州-余杭,3-5年,本科,C/C++、Python、Java、Linux、测试开发,北京格鲁特咨询服务有限公司,http://jobs.zhaopin.com/CC566251380J40480313811.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
MPU验证工程师（AI方向）,2万-4万 · 14薪,杭州-余杭,3-5年,本科,AI芯片、ASIC芯片、Python,北京知存科技有限公司,http://jobs.zhaopin.com/CC581607530J40514919507.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
中级自动化测试+招商银行（长期项目）,1.4万-1.6万,杭州-滨江,3-5年,本科,Python、UI自动化测试、接口自动化测试,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40433620516.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
IT工程师,5千-8千,杭州-拱墅,1-3年,大专,系统运维、桌面运维、服务器运维、IT支持、网络安全、Python、Java、SQL,医朴医疗技术(杭州)有限公司,http://jobs.zhaopin.com/CC886380540J40228880912.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
基因大数据算法工程师,2万-4万 · 14薪,杭州-滨江,1-3年,博士,基因测序、Python、R语言、生物医药行业,诺辉健康,http://jobs.zhaopin.com/CC331964330J40519195112.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
java开发工程师,面议,杭州-滨江,经验不限,本科,SpringCloud、SpringMVC、SpringBoot、Spring、后端开发、前端开发、嵌入式开发、Java、JS、Python、C++,华为技术有限公司,http://jobs.zhaopin.com/CC000542940J40519981314.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
RPA交付工程师,6千-1.2万,杭州-上城,1-3年,大专,软件实施、开发软件调试维护、Python、RPA实施,浙江方顶数融科技有限公司,http://jobs.zhaopin.com/CCL1316152500J40522437808.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
【对日赴日软件工作】对日软件工程师/IT工程师 国内/日本,7千-1.4万 · 13薪,杭州-拱墅,1-3年,学历不限,Java、C#、PHP、SAP、COBOL、Python、上流设计、前端开发,辛巴达软件,http://jobs.zhaopin.com/CC433788220J40099663312.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
dba数据库工程师,2万-4万,杭州-上城,5-10年,本科,SQL、Python、Java、DB2、MCDBA,武汉星星人力资源有限公司,http://jobs.zhaopin.com/CCL1469798360J40500499006.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
TI质量管理工程师（QA）,1万-1.3万,杭州-西湖,3-5年,大专,Java、Linux、Python,润和软件,http://jobs.zhaopin.com/CC171774410J40545739914.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
测试开发工程师,1.7万-2万 · 14薪,杭州-萧山,3-5年,本科,Python、Java、Shell、MySQL,浙商中拓,http://jobs.zhaopin.com/CC478508880J40532534112.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
高级运维开发工程师（阿里正编）,2万-3.5万 · 16薪,杭州-余杭,1-3年,本科,Python、Java、C++、运维开发,江苏鑫瑞源科技有限公司,http://jobs.zhaopin.com/CCL1335802250J40512278010.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
智能机器人测试开发岗,8千-1.2万,杭州-滨江,1-3年,大专,Python、C/C++、Linux、MySQL、自动化测试、web端测试、软件测试、Jmeter,上海微创软件股份有限公司,http://jobs.zhaopin.com/CC000638920J40544811014.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
imu算法工程师,面议,杭州-滨江,1-3年,硕士,C/C++、Python,浙江大华,http://jobs.zhaopin.com/CC145470510J40554043414.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
测试开发工程师（招商银行）,1.2万-1.5万 · 13薪,杭州-滨江,3-5年,本科,Python、Java、自动化测试、UI自动化测试、银行测试、Selenium、MySQL、DB2、Oracle、大数据,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40494676816.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
搜索算法工程师,2.5万-5万,杭州-上城,3-5年,硕士,C++、Java、Python、深度学习算法、自然语言处理、广告算法,四川达麦企业管理有限公司,http://jobs.zhaopin.com/CCL1239944790J40501314208.htm?refcode=4019&srccode=401901&preactionid=c06e9b5e-0f4f-43a4-96e3-362e14d03174
