职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据分析专员,7千-9千 · 14薪,杭州-滨江,经验不限,大专,商业数据分析、行业分析、销售数据分析、统计学、运筹学、应用数学,浙江合尔珀生物科技有限公司,http://jobs.zhaopin.com/CCL1372241830J40541920101.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
大数据开发工程师,1.5万-1.7万,杭州-滨江,3-5年,大专,Java,山东智和创信息技术有限公司,http://jobs.zhaopin.com/CC461476710J40467080904.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据分析工程师,1.2万-1.7万,杭州-萧山,3-5年,本科,数据治理、数据挖掘、Python、SPSS、Oracle、MySQL、数据分析,北京腾信软创科技股份有限公司,http://jobs.zhaopin.com/CC196911810J40585683715.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据分析师（汽车行业）,1.5万-2万,杭州-钱塘,3-5年,本科,Sql,中安润微科技上海,http://jobs.zhaopin.com/CCL1476042980J40508587210.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
webgis开发工程师（应届）,1万-1.4万,杭州-拱墅,经验不限,本科,Leaflet,浙江中海达空间信息技术有限公司,http://jobs.zhaopin.com/CC292276580J40459211304.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据库运维工程师,6千-8千 · 13薪,杭州-上城,1-3年,大专,DATAWORKS、Java、Python、Oracle、ODPS,杭州久烁网络科技有限公司,http://jobs.zhaopin.com/CCL1246328260J40368076808.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据分析师-供应链,1万-1.7万,杭州-滨江,3-5年,本科,,山东华科信息技术有限公司,http://jobs.zhaopin.com/CC293762780J40500337502.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
运营支持主管,9千-1.2万 · 14薪,杭州-萧山,1-3年,本科,经营数据分析、项目相关数据支持,贝壳找房科技有限公司,http://jobs.zhaopin.com/CC300255130J40590481515.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据分析师,6千-1万,杭州-西湖,经验不限,大专,,北京中瓴时代科技有限公司,http://jobs.zhaopin.com/CCL1444495290J40590649915.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据分析师,8千-1.6万,杭州-临平,1-3年,大专,Sql,杭州珠轩服饰有限公司,http://jobs.zhaopin.com/CC272883830J40512503703.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
大数据开发工程师,1.6万-2.6万 · 14薪,杭州-滨江,3-5年,本科,数据中台、数据建模、实时数仓、Hadoop、Hive、Spark、MySQL、HBase、SQL Server,亚信科技,http://jobs.zhaopin.com/CC139131340J40481239611.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据分析师,4千-5千,杭州-余杭,1年以下,大专,,郑州易宝软件科技有限公司,http://jobs.zhaopin.com/CC525176730J40512938308.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据开发工程师,1.6万-1.8万 · 13薪,杭州-萧山,5-10年,本科,ETL开发、数仓开发、数据集市、Hive,维恩贝特科技有限公司,http://jobs.zhaopin.com/CC272648910J40499078408.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据分析,1.2万-1.6万,杭州-滨江,3-5年,本科,供应链,山东华科信息技术有限公司,http://jobs.zhaopin.com/CC293762780J40500291402.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
大数据工程师,1.2万-2万,杭州-富阳,经验不限,硕士,大数据,银江技术股份有限公司,http://jobs.zhaopin.com/CCL1388477410J40464286213.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
项目运营-数据方向,8千-9千,杭州-西湖,1-3年,本科,EXCEL 熟练,外企德科,http://jobs.zhaopin.com/CC138117190J40506151405.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据开发工程师,9千-1.8万,杭州-拱墅,3-5年,本科,数据采集、Teradata、Oracle、数据库,京北方,http://jobs.zhaopin.com/CC315847110J40160424707.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据开发工程师,1.8万-3.5万 · 16薪,杭州-上城,3-5年,本科,数据运维、数仓开发,领时云天信息科技(常州)有限公司,http://jobs.zhaopin.com/CC685034830J40513757110.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据分析实习生,150-200/天,杭州-余杭,无经验,本科,数据分析,杭州安步汽车科技集团有限公司,http://jobs.zhaopin.com/CC297213180J40479158613.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据分析师,4.5万-8.5万 · 14薪,杭州-滨江,1-3年,博士,,杭州聚齐科技有限公司,http://jobs.zhaopin.com/CC418415830J40593218715.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
中高级 杭州数据开发 (营销数字BI) AI面试,1.5万-1.7万,杭州-滨江,3-5年,本科,数据治理、数据建模、ETL、Java、Python、Shell、Hadoop、Spark、Kafka、BI,上海正诺信息科技有限公司,http://jobs.zhaopin.com/CC682919930J40527232907.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
资深数据分析师（驻场银行）,2.5万-3.5万,杭州-萧山,10年以上,本科,数据挖掘、Python、SAS,长亮科技,http://jobs.zhaopin.com/CC120564550J40485914004.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据分析师,1万-1.5万,杭州,3-5年,本科,Python、商业数据分析、运营数据分析、销售数据分析,杭州君远健康科技有限公司,http://jobs.zhaopin.com/CC309285280J40346197605.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
OTC数据分析专员(J12184),9千-1.5万,杭州-拱墅,经验不限,本科,数据治理、数据挖掘,沈阳三生制药有限责任公司,http://jobs.zhaopin.com/CC131932960J40552040512.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
业务数据分析师,8千-1万,杭州-钱塘,3-5年,本科,Python、Java,力控科技,http://jobs.zhaopin.com/CC133775030J40582478115.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据开发工程师（3-4年经验）,9千-1万,杭州-上城,3-5年,本科,数据开发,山西慧德商务咨询有限公司,http://jobs.zhaopin.com/CCL1389295410J40583185515.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
数据分析师,1.4万-2万 · 14薪,杭州-拱墅,3-5年,本科,数据治理、数据挖掘、数据建模、Sql、Python、BI工具、Power BI,易豹网络科技有限公司,http://jobs.zhaopin.com/CC844598510J40489639406.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
服装数据分析员,7千-1万,杭州-萧山,1-3年,学历不限,,杭州潮玩时装有限公司,http://jobs.zhaopin.com/CCL1239221940J40508142405.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
大数据开发,1.6万-1.8万,杭州-萧山,5-10年,本科,Oracle、数据迁移,上海浩方信息技术有限公司南京分公司,http://jobs.zhaopin.com/CC871883930J40495542711.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
市场数据运营,9千-1.3万,杭州-钱塘,1-3年,本科,SPSS、Tableau、Kettle,长沙信必优信息科技有限公司,http://jobs.zhaopin.com/CCL1310486740J40473302706.htm?refcode=4019&srccode=401901&preactionid=ded7f53d-d564-44b4-b5fd-7de96370574b
