职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
Qt开发工程师,6千-1.2万,舟山-定海区,经验不限,大专,客户端开发、网络编程、QT、C++、Linux、Windows、Socket技术、多线程,舟山圣华物联科技有限公司,http://jobs.zhaopin.com/CCL1463042340J40400330102.htm?refcode=4019&srccode=401901&preactionid=cb7dc20e-8392-4226-bd60-54149d842919
开发工程师,1万-2万,舟山,3-5年,本科,工艺标准、配方开发,江苏多肯新材料有限公司,http://jobs.zhaopin.com/CC279945880J40013071409.htm?refcode=4019&srccode=401901&preactionid=cb7dc20e-8392-4226-bd60-54149d842919
java软件开发工程师,8千-1.1万,舟山-定海区,3-5年,本科,SpringBoot、Spring、全栈开发、前端开发、MySQL、Oracle,浙江黎明智造股份有限公司,http://jobs.zhaopin.com/CC890131280J40498919503.htm?refcode=4019&srccode=401901&preactionid=cb7dc20e-8392-4226-bd60-54149d842919
