职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
AI算法工程师（Python，2024届）,8千-1.6万 · 15薪,杭州-临安,经验不限,本科,Python,浙江众合科技股份有限公司,http://jobs.zhaopin.com/CC264575280J40587575215.htm?refcode=4019&srccode=401901&preactionid=9d75ad93-499f-471b-a77e-2af6aa90e9ed
python开发工程师,1万-1.8万 · 13薪,杭州-余杭,1-3年,本科,后端开发、Python、架构设计、神经网络、Django、Tornado、SQL,杭州慧简医疗科技有限公司,http://jobs.zhaopin.com/CC273756884J90250053000.htm?refcode=4019&srccode=401901&preactionid=9d75ad93-499f-471b-a77e-2af6aa90e9ed
数据分析师（移动项目）,6千-8千,杭州-西湖,1-3年,大专,Python、Sql,河南中杭信息科技有限公司,http://jobs.zhaopin.com/CCL1359078390J40444900806.htm?refcode=4019&srccode=401901&preactionid=9d75ad93-499f-471b-a77e-2af6aa90e9ed
数据分析师,150-200/天,杭州-钱塘,无经验,学历不限,Python、R语言、Java、SQL、SPSS、SAS、MATLAB、Eviews,杭州拓端数据科技有限公司,http://jobs.zhaopin.com/CC428769630J40418906601.htm?refcode=4019&srccode=401901&preactionid=9d75ad93-499f-471b-a77e-2af6aa90e9ed
Python开发工程师/软件工程师,1.4万-2万 · 14薪,杭州-钱塘,3-5年,大专,Python、前端开发、后端开发、Vue,杭州研一智控科技有限公司,http://jobs.zhaopin.com/CC403721630J40380781109.htm?refcode=4019&srccode=401901&preactionid=9d75ad93-499f-471b-a77e-2af6aa90e9ed
Python开发工程师,1.5万-3万 · 14薪,杭州-滨江,经验不限,本科,Python、机器学习、深度学习、Java、C++、Django、Qt Creator、多线程,外企德科,http://jobs.zhaopin.com/CC138117190J40356967505.htm?refcode=4019&srccode=401901&preactionid=9d75ad93-499f-471b-a77e-2af6aa90e9ed
小程序测试,6千-1万,杭州-滨江,经验不限,大专,功能测试、性能测试、自动化测试、Python、C、C++,南京建成网络科技有限公司,http://jobs.zhaopin.com/CCL1389529550J40507787509.htm?refcode=4019&srccode=401901&preactionid=9d75ad93-499f-471b-a77e-2af6aa90e9ed
数据分析员,6千-1万,杭州-余杭,1-3年,大专,Python,浙江诺为科技集团有限公司,http://jobs.zhaopin.com/CCL1461890890J40483473002.htm?refcode=4019&srccode=401901&preactionid=9d75ad93-499f-471b-a77e-2af6aa90e9ed
Python开发工程 全额六险一金 试用期不打折 接受应届毕业生,1.8万-2.8万 · 16薪,杭州-滨江,1-3年,本科,数据结构、Linux、Windows、Python、数据开发、数据分析、算法基础,外企德科,http://jobs.zhaopin.com/CC138117190J40331616105.htm?refcode=4019&srccode=401901&preactionid=9d75ad93-499f-471b-a77e-2af6aa90e9ed
python（机器人后端开发，外派大厂，双休）,1.2万-1.5万,杭州-滨江,1-3年,本科,Java、Python,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40490023316.htm?refcode=4019&srccode=401901&preactionid=9d75ad93-499f-471b-a77e-2af6aa90e9ed
数据分析师(J11206),面议,杭州-钱塘,3-5年,本科,SQL、Python、商业数据分析、运营数据分析、销售数据分析、财务数据分析、行业分析、消费者洞察分析、供应链板块经营指标分析,九阳股份有限公司,http://jobs.zhaopin.com/CC157249010J40525034101.htm?refcode=4019&srccode=401901&preactionid=9d75ad93-499f-471b-a77e-2af6aa90e9ed
