职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
网易-游戏测试DZ,7千-1.3万 · 13薪,杭州-滨江,1-3年,本科,Python、手游测试、页游测试、功能测试、UGC游戏、海外发行游戏,北京外企德科人力资源服务深圳有限公司,http://jobs.zhaopin.com/CC157144120J40507756408.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
ETL工程师（杭州）(J10978),1万-1.5万,杭州-萧山,1-3年,本科,ETL、DataStage、Kettle、DB2、数据开发、报表开发、Informatica、FineBI,先进数通,http://jobs.zhaopin.com/CC000432190J40262686816.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
软件测试工程师,7千-1.2万,杭州-滨江,经验不限,本科,功能测试、自动化测试、性能测试、Python、WEB接口、UI自动化,浙江天垂科技有限公司,http://jobs.zhaopin.com/CC466235480J40492881611.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
杭州测试 (诸葛) AI面试-短期8个月,1.2万-1.3万,杭州-滨江,3-5年,大专,功能测试、自动化测试、安全测试、Java、Javascript、Python、Postman、禅道、Fiddler,上海正诺信息科技有限公司,http://jobs.zhaopin.com/CC682919930J40532594607.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
java软件开发工程师,8千-1万,杭州-上城,1-3年,大专,Redis、Oracle、MySQL、Python、Javascript,北京举贤双高企业管理有限公司,http://jobs.zhaopin.com/CC446151030J40525636907.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
赴日软件开发工程师,1.5万-3万,杭州,1-3年,本科,Java、PHP、Python、HTML、CSS、SQL、软件工程师、全栈开发,株式会社データワンテクノロジー,http://jobs.zhaopin.com/CC837893160J00273664505.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
服务器开发工程师,8千-1.3万 · 14薪,杭州-滨江,1-3年,本科,Python、NODEJS,滨江兄弟信息技术(杭州)有限公司,http://jobs.zhaopin.com/CC335923910J40505658103.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
测试工程师,1.2万-1.9万 · 13薪,杭州-滨江,1-3年,本科,自动化测试、Python,北京联龙博通电子商务技术有限公司,http://jobs.zhaopin.com/CC120407450J40405033407.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
数据挖掘算法工程师,2万-4万 · 16薪,杭州-余杭,经验不限,硕士,Python、机器学习、深度学习、数据挖掘、Java、Hive,成都韬普讯企业管理服务有限公司,http://jobs.zhaopin.com/CCL1282387760J40498424003.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
算法工程师,1.9万-2.2万,杭州-余杭,1-3年,本科,Python,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40496224506.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
研究院-测试工程师,1.1万-2万 · 15薪,杭州-滨江,1-3年,本科,C++、Python、功能测试,杭州海康威视数字技术股份有限公司,http://jobs.zhaopin.com/CC120975580J40584665815.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
评测工程师/评测高级工程师(J10132),1万-1.5万,杭州-拱墅,经验不限,本科,功能测试、自动化测试、性能测试、Java、Python、Jmeter、接受出差,杭州新中大科技,http://jobs.zhaopin.com/CC000573040J40475853213.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
电商库存管理专员,5千-8千 · 13薪,杭州-滨江,1-3年,本科,Python、SQL、订补货管理、库存计划、数据分析与处理、需求预测、供应链管理,朴朴超市,http://jobs.zhaopin.com/CC408522280J40515041010.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
软件测试,9千-1.2万,杭州-余杭,3-5年,本科,自动化测试、Python、Java,易宝软件科技(南京)有限公司,http://jobs.zhaopin.com/CC509286380J40489888706.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
生信分析工程师,8千-1.5万,杭州-钱塘,经验不限,硕士,R语言、Python、单细胞、基因组学、转录组学、生信绘图,浙江万辉生物医药有限公司,http://jobs.zhaopin.com/CC817479050J40244491207.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
大数据运维岗位,1.4万-1.9万,杭州-萧山,3-5年,本科,Hadoop、Spark、HBase、Flink、Java、Python、FLINK+HOLO,润和软件,http://jobs.zhaopin.com/CC171774410J40545900214.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
数据库内核开发工程师,1.6万-2.8万,杭州-滨江,3-5年,本科,NoSQL、C/C++、MySQL、PostgreSQL、SQL Server、NEWSQL,北京煜象软件技术有限公司杭州分公司,http://jobs.zhaopin.com/CCL1373479310J40529292707.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
DevOps 运维工程师,1.5万-2万,杭州-余杭,经验不限,本科,Linux、Zabbix、Kubernetes、Docker、Ansible、Python、DevOps,国信蓝桥教育科技股份有限公司,http://jobs.zhaopin.com/CCL1365199150J40267681215.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
大数据高级架构师,3万-4万,杭州-拱墅,3-5年,本科,数据治理、数据架构、数据中台、数仓开发、数据平台开发,杭州客原网络科技集团有限公司,http://jobs.zhaopin.com/CCL1477245810J40474552413.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
24秋招-游戏测试工程师,1万-1.2万,杭州-滨江,经验不限,本科,Python,北京能量盒科技有限公司,http://jobs.zhaopin.com/CC859129100J40491817609.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
nlp算法工程师,2万-3万,杭州-余杭,经验不限,本科,Python,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40494704416.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
生信工程师-工业蛋白质组学,1.4万-1.6万 · 15薪,杭州-钱塘,经验不限,硕士,基因测序、蛋白质组学、表观组学、R语言、Python,杭州景杰生物科技股份有限公司,http://jobs.zhaopin.com/CC408452810J40476546804.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
1688算法专家 (P6-p7),1.5万-3万,杭州-余杭,经验不限,本科,推荐算法、搜索算法、PyTorch、C++、Java、Python,道一(天津)企业管理咨询有限公司,http://jobs.zhaopin.com/CCL1447804550J40549686012.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
系统运维工程师,1万-1.5万,杭州-滨江,1-3年,本科,Python、SQL、MES系统、SIP封装,欣旺达电子,http://jobs.zhaopin.com/CC135947830J40489096111.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
人工智能系统管理工程师 (MJ000080),1.3万-2.5万 · 13薪,杭州-西湖,经验不限,硕士,PyTorch、TensorFlow、Python,西湖大学,http://jobs.zhaopin.com/CC830919920J40524166607.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
Go开发工程师（应届）,200-300/天,杭州-上城,无经验,本科,Python、Shell,深圳支流科技有限公司,http://jobs.zhaopin.com/CC867513380J40510371309.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
Java开发（学信本~大数据经验优先）,1.7万-2万,杭州-萧山,3-5年,本科,Spring、MySQL,北京青钱信息技术有限公司,http://jobs.zhaopin.com/CC337626410J40504170210.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
初级 杭州运维 (服务部) AI面试,9千-1万,杭州-滨江,3-5年,本科,企业微信、云盘、SHAREPOINT、系统运维、云运维、Shell、Python、C#,上海正诺信息科技有限公司,http://jobs.zhaopin.com/CC682919930J40527982407.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
杭州JAVA开发（VSOC）,1.6万-1.9万,杭州-滨江,5-10年,大专,Python、Spring、MySQL、PostgreSQL、业务风控优先,上海澜码信息技术有限公司,http://jobs.zhaopin.com/CCL1465327550J40588829015.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
Java开发工程师,1.5万-2.9万 · 14薪,杭州-滨江,经验不限,本科,后端开发、SpringCloud、SpringBoot、SpringMVC、Java、Python,外企德科,http://jobs.zhaopin.com/CC138117190J40402761605.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c
