职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
销售管理服务专员,6千-7千,衢州-江山市,1-3年,本科,数据分析、财会,江山欧派门业股份有限公司,http://jobs.zhaopin.com/CC490157120J40479743013.htm?refcode=4019&srccode=401901&preactionid=7ce320ef-567c-4400-b0f3-f4390cf2ed6e
运营经理/销售管理/连锁店运营,1.1万-1.8万,衢州-柯城区,3-5年,大专,运营管理、市场营销、加盟管理、巡店管理、门店管理、业务培训、人员管理、岗位培训、数据分析、多店管理,浙江未来万家五金机电有限公司,http://jobs.zhaopin.com/CC443980210J40546173812.htm?refcode=4019&srccode=401901&preactionid=7ce320ef-567c-4400-b0f3-f4390cf2ed6e
市场调研评估员/市场调查员-浙江衢州,0.3千-0.5千元/月,衢州-柯城区,经验不限,大专,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483011116.htm?refcode=4019&srccode=401901&preactionid=7ce320ef-567c-4400-b0f3-f4390cf2ed6e
投资顾问,8千-1.6万 · 14薪,衢州-柯城区,1-3年,大专,股票市场、期货市场、基金市场、债券市场、金融业、证券从业资格证、证券投资咨询资格证、证券,国信证券浙江分公司,http://jobs.zhaopin.com/CC292074410J40214594510.htm?refcode=4019&srccode=401901&preactionid=7ce320ef-567c-4400-b0f3-f4390cf2ed6e
