职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
主数据管理专员(J11286),6千-8千 · 14薪,杭州-余杭,1-3年,本科,SAP,杭州认养一头牛生物科技有限公司,http://jobs.zhaopin.com/CC848413500J40461235913.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
数据采集分析工程师,1.5万-3万,杭州-滨江,1-3年,本科,Python、SQL、Java、GO、分布式爬虫、数据爬虫,河南爱收入科技有限公司杭州分公司,http://jobs.zhaopin.com/CCL1472368380J40485069116.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
数据适配专家,9千-1.8万,杭州-余杭,10年以上,大专,适配,快准车服,http://jobs.zhaopin.com/CC509652630J40483799404.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
数据分析助理（会加班）,8千-9千 · 13薪,杭州-上城,1-3年,本科,商业数据分析、运营数据分析、销售数据分析、金融数据分析,广州艾佳伟粤科技有限公司,http://jobs.zhaopin.com/CCL1469362360J40482584502.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
数据分析（Quick BI ）,1.5万-1.8万,杭州-滨江,3-5年,大专,QUICK BI、数据可视化、行业分析,上海兴岩信息科技有限公司,http://jobs.zhaopin.com/CC334558030J40487904214.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
数据分析专家(J10128),3万-4.5万 · 17薪,杭州-滨江,5-10年,本科,商业数据分析、销售数据分析,深圳市小满科技有限公司,http://jobs.zhaopin.com/CC570131920J40507536703.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
成本数据岗,5千-7千 · 13薪,杭州-富阳,经验不限,学历不限,,京东集团,http://jobs.zhaopin.com/CC192921310J40514884209.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
数据分析,1万-1.5万,杭州-上城,1-3年,本科,Power BI,上海晨钦信息科技服务有限公司,http://jobs.zhaopin.com/CCL1343356340J40492561612.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
数据分析与处理软件工程师,1.2万-2万,杭州-滨江,1-3年,本科,数据分析、遥感、聚类、深度学习、Python,杭州高谱成像技术有限公司,http://jobs.zhaopin.com/CC887878130J40215017106.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
数据分析/数据开发/数据挖掘,1.5万-3万 · 14薪,杭州-滨江,经验不限,本科,Python、C++、Java、Hadoop,外企德科,http://jobs.zhaopin.com/CC138117190J40506311405.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
数据统计员,8千-1万,杭州-滨江,经验不限,大专,数据,浙江合尔珀生物科技有限公司,http://jobs.zhaopin.com/CCL1372241830J40541936301.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
数据分析师,150-200/天,杭州-钱塘,无经验,学历不限,Python、R语言、Java、SQL、SPSS、SAS、MATLAB、Eviews,杭州拓端数据科技有限公司,http://jobs.zhaopin.com/CC428769630J40418906601.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
产品运营及分析（数据分析方向),1.5万-3万,杭州-上城,1-3年,本科,数据分析,中国移动通信有限公司在线营销服务中心,http://jobs.zhaopin.com/CCL1317363300J40397009203.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
数据专员（双休）,9千-1.6万,杭州,经验不限,本科,行业分析,杭州烛名科技有限公司,http://jobs.zhaopin.com/CCL1467915280J40428316511.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
数据分析师,1.2万-1.8万,杭州-上城,3-5年,本科,,世猎(上海)人力资源有限公司,http://jobs.zhaopin.com/CCL1407138080J40500153902.htm?refcode=4019&srccode=401901&preactionid=5da051f4-b95b-465f-96eb-6b439d2a1ecb
