职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
产品经理-玻璃升降器,1.5万-2.5万,杭州-余杭,3-5年,本科,产品规划、需求分析、产品运营、数据分析、市场调研、汽车后市场,快准车服,http://jobs.zhaopin.com/CC509652630J40365696904.htm?refcode=4019&srccode=401901&preactionid=76ad092a-8315-4826-a433-d3e48082d05f
设计院推广,8千-1万,杭州-上城,3-5年,本科,设计院上图、招投标、数据分析,东方雨虹,http://jobs.zhaopin.com/CC000447610J40585719015.htm?refcode=4019&srccode=401901&preactionid=76ad092a-8315-4826-a433-d3e48082d05f
资深Java开发工程师（云与数据智能方向）,2万-4万 · 15薪,杭州-西湖,10年以上,本科,,浙江艾罗网络能源技术股份有限公司,http://jobs.zhaopin.com/CC477300720J40485987504.htm?refcode=4019&srccode=401901&preactionid=76ad092a-8315-4826-a433-d3e48082d05f
岗位配置经理,2万-3万,杭州-滨江,3-5年,本科,数据分析,河南爱收入科技有限公司杭州分公司,http://jobs.zhaopin.com/CCL1472368380J40497991416.htm?refcode=4019&srccode=401901&preactionid=76ad092a-8315-4826-a433-d3e48082d05f
hrbp助理,6千-8千 · 13薪,杭州-滨江,1-3年,本科,组织发展、招聘运营、市场团队HRBP、运营团队HRBP、海外招聘运营经验、数据分析、英语流畅,上海微创软件股份有限公司,http://jobs.zhaopin.com/CC000638920J40533335714.htm?refcode=4019&srccode=401901&preactionid=76ad092a-8315-4826-a433-d3e48082d05f
薪酬绩效主管,9千-1.2万 · 13薪,杭州-萧山,3-5年,本科,薪酬福利、薪酬核算、民营、考勤管理、数据分析,杭萧钢构,http://jobs.zhaopin.com/CC130304880J40495471116.htm?refcode=4019&srccode=401901&preactionid=76ad092a-8315-4826-a433-d3e48082d05f
商户运营主管,9千-1.2万 · 14薪,杭州-萧山,3-5年,本科,B端用户、平台类产品、产品运营、跨部门沟通协作能力强、数据分析,贝壳找房科技有限公司,http://jobs.zhaopin.com/CC300255130J40586437815.htm?refcode=4019&srccode=401901&preactionid=76ad092a-8315-4826-a433-d3e48082d05f
商业结算分析专员（试用期无折，周末双休）,7千-1万,杭州-余杭,3-5年,本科,数据敏感、数据分析、结算、EXCLE能力强,杭州橙财企业管理服务有限公司,http://jobs.zhaopin.com/CC837331980J40512744903.htm?refcode=4019&srccode=401901&preactionid=76ad092a-8315-4826-a433-d3e48082d05f
大厂！社区内容产品运营（双休+包三餐）,7千-8千,杭州-滨江,1-3年,大专,标签、违规内容审核、数据分析,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40497376706.htm?refcode=4019&srccode=401901&preactionid=76ad092a-8315-4826-a433-d3e48082d05f
双休-流程优化分析专家（偏ssc）,1万-1.5万 · 14薪,杭州-余杭,1-3年,本科,入转调离、社保公积金、数据分析,北京壹陆汇才管理咨询有限公司,http://jobs.zhaopin.com/CC645428930J40479306504.htm?refcode=4019&srccode=401901&preactionid=76ad092a-8315-4826-a433-d3e48082d05f
