职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据分析岗,5千-8千,丽水,无经验,本科,销售数据分析、金融数据分析,新华人寿保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC148860520J40462812812.htm?refcode=4019&srccode=401901&preactionid=b8d9e692-2147-4c3b-bb20-0ed546b728b9
数据分析+管培生,1万-1.5万,丽水-莲都区,经验不限,本科,职能方向、市场方向、IT技术研发方向、人资方向、运营方向、商务方向,江西星函企业管理有限公司,http://jobs.zhaopin.com/CCL1322411260J40437639011.htm?refcode=4019&srccode=401901&preactionid=b8d9e692-2147-4c3b-bb20-0ed546b728b9
产品经理（国际业务方向）,8千-1.6万,丽水-莲都区,经验不限,本科,英语、需求分析、市场调研、数据分析、产品运营、项目管理,浙江泰隆商业银行股份有限公司丽水分行,http://jobs.zhaopin.com/CC299901310J40425785913.htm?refcode=4019&srccode=401901&preactionid=b8d9e692-2147-4c3b-bb20-0ed546b728b9
运营经理/销售管理/连锁店运营,1万-1.5万,丽水-莲都区,3-5年,大专,运营管理、市场营销、加盟管理、巡店管理、门店管理、业务培训、人员管理、岗位培训、数据分析、市场信息收集,浙江未来万家五金机电有限公司,http://jobs.zhaopin.com/CC443980210J40530619412.htm?refcode=4019&srccode=401901&preactionid=b8d9e692-2147-4c3b-bb20-0ed546b728b9
市场调研评估员/市场调查员-浙江丽水,300-500元/天,丽水-莲都区,经验不限,大专,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40482035716.htm?refcode=4019&srccode=401901&preactionid=b8d9e692-2147-4c3b-bb20-0ed546b728b9
市场调研评估员/市场调查员-浙江省丽水市景宁畲族自治县人民中路176号东方江泰广场,300-600元/天,丽水-景宁畲族自治县,经验不限,高中,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483016016.htm?refcode=4019&srccode=401901&preactionid=b8d9e692-2147-4c3b-bb20-0ed546b728b9
