职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
研究院-大数据算法实习生,300-350/天,杭州-滨江,无经验,硕士,Python、数据库、数据挖掘,杭州海康威视数字技术股份有限公司,http://jobs.zhaopin.com/CC120975580J40591720815.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
算法工程师（机器学习方向）,面议,杭州-滨江,5-10年,硕士,深度学习算法,吉利控股集团,http://jobs.zhaopin.com/CC000616940J40506686408.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
NLP算法工程师,3万-4万 · 14薪,杭州-临平,3-5年,硕士,文本分析、文本挖掘、实体识别、序列标注,山东伯睿英联企业管理咨询有限公司,http://jobs.zhaopin.com/CC401190180J40488721006.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
isp图像算法工程师,2万-4万,杭州-余杭,经验不限,本科,C++、AF算法,杭州星犀科技有限公司,http://jobs.zhaopin.com/CC469689330J40502359409.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
算法工程师,1.5万-3万 · 14薪,杭州-滨江,经验不限,本科,视觉图像算法、自然语言处理、推荐算法、机器人算法、视频算法、搜索算法、语音算法、PyTorch、TensorFlow、Python,外企德科,http://jobs.zhaopin.com/CC138117190J40506310005.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
数据标注/Ai算法训练实习生,140-200/天,杭州-余杭,无经验,大专,语音标注、音频标注,北京知存科技有限公司,http://jobs.zhaopin.com/CC581607530J40532332807.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
图像算法工程师,1.3万-2万,杭州-滨江,3-5年,本科,图像处理、图像增强、图像分割,浙江啄云智能科技有限公司,http://jobs.zhaopin.com/CC846310970J40128194406.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
机器人算法工程师,1.5万-2.4万 · 15薪,杭州-余杭,经验不限,本科,C#、C/C++、视觉图像算法、运动控制算法,芜湖英视迈智能科技有限公司,http://jobs.zhaopin.com/CCL1333737970J40400454109.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
算法工程师,1.9万-2.2万,杭州-余杭,1-3年,本科,Python,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40496224506.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
AI算法工程师,2.5万-3万,杭州-余杭,3-5年,本科,舆情分析、文本分析、舆情监控,南京瑞仕登人力资源有限公司,http://jobs.zhaopin.com/CC466047480J40592870215.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
算法工程师,1.5万-3万,杭州-滨江,1-3年,本科,视觉图像算法,河南爱收入科技有限公司杭州分公司,http://jobs.zhaopin.com/CCL1472368380J40476963916.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
遥感算法工程师,1.2万-2万,杭州,3-5年,本科,Python、图像识别、GIS、深度学习,杭州零重空间技术有限公司,http://jobs.zhaopin.com/CC816555490J00257167806.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
nlp算法工程师,2万-4万 · 16薪,杭州-余杭,经验不限,本科,深度学习、自然语言处理、NLP、多模态,成都韬普讯企业管理服务有限公司,http://jobs.zhaopin.com/CCL1282387760J40498425503.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
QT/C++开发工程师,6千-1.2万,杭州-萧山,1-3年,本科,QT、C++、C、算法、架构设计,杭州德迪智能科技有限公司,http://jobs.zhaopin.com/CC287096630J40263234608.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
算法工程师,2.5万-4万 · 13薪,杭州-余杭,5-10年,本科,实体识别、文本分类、信息抽取、LSTM、RNN、Attention、BERT、word2vec、机器阅读理解、聊天机器人、CRF,北京霍因科技有限公司,http://jobs.zhaopin.com/CC608050080J40491097002.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
大模型算法工程师,3万-4.5万 · 16薪,杭州-余杭,3-5年,硕士,Python、Java、机器学习、深度学习、统计分析、Hive、Hadoop,大连优利莱信息技术有限公司,http://jobs.zhaopin.com/CC630289130J40530224201.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
数字设计工程师(AI),3万-6万 · 14薪,杭州-余杭,3-5年,硕士,C语言、C++、AI芯片、数字芯片设计、Python、Perl,北京知存科技有限公司,http://jobs.zhaopin.com/CC581607530J40514920807.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
算法工程师（AI制药/计算化学方向）,1.8万-3万 · 13薪,杭州,经验不限,硕士,分子生成、算法,杭州瑞普基因科技有限公司,http://jobs.zhaopin.com/CC313415180J40484471307.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
图像算法（央企研究院）,2.7万-4万 · 17薪,杭州-西湖,5-10年,硕士,视觉图像算法,杭州嘉才企业管理咨询有限公司,http://jobs.zhaopin.com/CC415907010J40507614203.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
深度学习算法工程师,2.5万-5万 · 13薪,杭州-滨江,3-5年,硕士,深度学习算法、机器学习算法、视觉图像算法、TensorFlow,宁波江丰生物信息技术有限公司,http://jobs.zhaopin.com/CC410492320J40429200112.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
高级算法工程师,2.6万-4万,杭州-滨江,3-5年,博士,,浙江啄云智能科技有限公司,http://jobs.zhaopin.com/CC846310970J40276765606.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
图形学/3D视觉算法工程师,4万-6万,杭州-滨江,经验不限,硕士,扎实的编程能力、3年以上工作经验、UNITY3D或UE4、统招本科,无锡卓佳网络科技有限公司,http://jobs.zhaopin.com/CCL1365251880J40504693003.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
算法工程师（23及24届校招）(A11940),2万-4万 · 14薪,杭州-余杭,经验不限,硕士,C++、Python,弈芯科技(杭州)有限公司,http://jobs.zhaopin.com/CCL1361675880J40455501111.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65
