职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数字化开发/实施工程师,1.4万-2.2万,杭州-西湖,5-10年,本科,Python、Java、Scala、Shell,浙江江南工程管理股份有限公司,http://jobs.zhaopin.com/CC145615280J40593011215.htm?refcode=4019&srccode=401901&preactionid=48548557-b966-4574-bd79-a0d39e0c4ecc
数据开发（有银行经验）,1.5万-2万,杭州-萧山,5-10年,本科,Hadoop、银行,北京青钱信息技术有限公司,http://jobs.zhaopin.com/CC337626410J40504172710.htm?refcode=4019&srccode=401901&preactionid=48548557-b966-4574-bd79-a0d39e0c4ecc
大数据开发工程师（急招/一轮面试）,1.7万-2.3万,杭州-拱墅,3-5年,学历不限,Hadoop、保险,纬创软件,http://jobs.zhaopin.com/CC120817710J40542488001.htm?refcode=4019&srccode=401901&preactionid=48548557-b966-4574-bd79-a0d39e0c4ecc
数据建模工程师,1.4万-1.5万 · 13薪,杭州-萧山,3-5年,本科,数据建模、数据平台、数仓开发、Python,维恩贝特科技有限公司,http://jobs.zhaopin.com/CC272648910J40521568308.htm?refcode=4019&srccode=401901&preactionid=48548557-b966-4574-bd79-a0d39e0c4ecc
高级大数据开发工程师,1.5万-3万 · 13薪,杭州-滨江,3-5年,本科,大数据开发、数据分析、Hadoop、Spark、Elasticsearch,迪普科技,http://jobs.zhaopin.com/CC237981410J40228272813.htm?refcode=4019&srccode=401901&preactionid=48548557-b966-4574-bd79-a0d39e0c4ecc
保险行业数据开发,1.3万-2.5万,杭州-拱墅,3-5年,大专,DATAWORKS、阿里云,纬创软件,http://jobs.zhaopin.com/CC120817710J40540265601.htm?refcode=4019&srccode=401901&preactionid=48548557-b966-4574-bd79-a0d39e0c4ecc
大模型数据采集与使用工程师,1.3万-2万,杭州-滨江,经验不限,本科,数据采集、爬虫开发,河南爱收入科技有限公司杭州分公司,http://jobs.zhaopin.com/CCL1472368380J40483399616.htm?refcode=4019&srccode=401901&preactionid=48548557-b966-4574-bd79-a0d39e0c4ecc
数据开发,1.5万-2万,杭州-滨江,5-10年,本科,ARGO、KUBEMNETES、Python、DATAWORKS、QUICKBI,深圳市拓保软件有限公司,http://jobs.zhaopin.com/CC157088920J40493020816.htm?refcode=4019&srccode=401901&preactionid=48548557-b966-4574-bd79-a0d39e0c4ecc
大数据工程师,1万-2万 · 16薪,杭州-上城,经验不限,本科,数仓开发、数据运维、数据平台、Java、Python,万向财务有限公司,http://jobs.zhaopin.com/CC145898140J40445211610.htm?refcode=4019&srccode=401901&preactionid=48548557-b966-4574-bd79-a0d39e0c4ecc
数据开发工程师（3-4年经验）,9千-1万,杭州-上城,3-5年,本科,数据开发,山西慧德商务咨询有限公司,http://jobs.zhaopin.com/CCL1389295410J40583185515.htm?refcode=4019&srccode=401901&preactionid=48548557-b966-4574-bd79-a0d39e0c4ecc
