职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
算法工程师（CGM）,1万-1.5万 · 13薪,衢州-柯城区,1-3年,本科,C++、C语言、MATLAB、LSTM、医疗大健康、血糖,超新芯,http://jobs.zhaopin.com/CC867845410J40501120405.htm?refcode=4019&srccode=401901&preactionid=2b25c448-3a97-4291-9025-bcf701d25cab
电子学工程师,1.2万-1.5万,衢州-柯城区,经验不限,硕士,技术支持,衢州膜材料创新研究院,http://jobs.zhaopin.com/CCL1468452430J40488312204.htm?refcode=4019&srccode=401901&preactionid=2b25c448-3a97-4291-9025-bcf701d25cab
组件研发工程师(J11184),1万-1.5万 · 14薪,衢州-衢江区,5-10年,本科,光伏组件研发、产品开发、材料开发、工艺开发,一道新能源科技股份有限公司,http://jobs.zhaopin.com/CC844637420J40479384413.htm?refcode=4019&srccode=401901&preactionid=2b25c448-3a97-4291-9025-bcf701d25cab
c/c++软件开发工程师 工控系统,8千-1.5万,衢州-江山市,3-5年,大专,C++、C,浙江科力车辆控制系统有限公司,http://jobs.zhaopin.com/CC661677020J40461060813.htm?refcode=4019&srccode=401901&preactionid=2b25c448-3a97-4291-9025-bcf701d25cab
CCD视觉主管工程师,1.8万-3万 · 13薪,衢州-衢江区,经验不限,大专,视觉 CCD,武汉弛旭众富网络科技有限公司,http://jobs.zhaopin.com/CC687784680J40412085208.htm?refcode=4019&srccode=401901&preactionid=2b25c448-3a97-4291-9025-bcf701d25cab
CCD视觉主管工程师—— 做开发方向 锂电行业1年以上,2.3万-4.5万 · 14薪,衢州-柯城区,经验不限,大专,机械视觉 视觉开发,武汉弛旭众富网络科技有限公司,http://jobs.zhaopin.com/CC687784680J40433582508.htm?refcode=4019&srccode=401901&preactionid=2b25c448-3a97-4291-9025-bcf701d25cab
