职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据分析研究员（实习）,150-200/天,杭州-滨江,无经验,本科,数据治理,智联猎头,http://jobs.zhaopin.com/CCL1318355140J40501724503.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
数据分析专员,6千-1万 · 13薪,杭州-上城,经验不限,大专,财务数据分析、金融数据分析、关联分析、监控系统,浙江然自芯环保科技有限公司,http://jobs.zhaopin.com/CCL1374719510J40593688215.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
数据员,6千-8千,杭州-上城,经验不限,本科,数据监控,金桥信息,http://jobs.zhaopin.com/CC120347960J40491981811.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
中国移动正式员工-数据分析师,1.5万-3万,杭州-上城,3-5年,本科,数据治理、Sql、Python、R语言,浙江外服人力资源服务有限公司,http://jobs.zhaopin.com/CC559618430J40499361302.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
数据分析师,1.2万-2.3万 · 15薪,杭州-西湖,3-5年,本科,数据分析、Python、MySQL、Oracle、数据清洗、SQL,亚信科技,http://jobs.zhaopin.com/CC139131340J40174908611.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
产品运营及分析（数据分析方向),1.5万-3万,杭州-上城,1-3年,本科,数据分析,中国移动通信有限公司在线营销服务中心,http://jobs.zhaopin.com/CCL1317363300J40397009203.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
链家运营支持主管,9千-1.2万 · 14薪,杭州-萧山,3-5年,本科,SQL、excel、销售数据运营、策略运营,贝壳找房科技有限公司,http://jobs.zhaopin.com/CC300255130J40591655015.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
数据分析专员,8千-1万,杭州-滨江,1-3年,本科,熟练使用EXCEL函数、数据敏感、可以根据数据分析结果优化方案,北京悟空出行科技有限公司,http://jobs.zhaopin.com/CC454895830J40586556515.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
数据清洗,5千-7千,杭州,1年以下,大专,数据清洗,杭州蓝聘网络技术有限公司,http://jobs.zhaopin.com/CCL1319002470J40444164710.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
数据专员-杭州,5千-8千,杭州-上城,1-3年,大专,行业数据分析、经营数据分析,中联即送网络科技有限公司,http://jobs.zhaopin.com/CCL1256805620J40501492805.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
杭州 资深数据开发 AI面试,1.7万-2.2万,杭州-滨江,3-5年,本科,Hive、Spark、底层原理、SQL、性能调优、DATAWORKS、ETL开发、数据中台、Python,上海正诺信息科技有限公司,http://jobs.zhaopin.com/CC682919930J40518076807.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
数据分析工程师（杭州）,1万-1.5万 · 15薪,杭州-西湖,1-3年,硕士,Python、MATLAB、环保、大气、臭氧、颗粒物,无锡中科光电技术有限公司,http://jobs.zhaopin.com/CC470818610J40380378102.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
数据开发（有银行经验）,1.5万-2万,杭州-萧山,5-10年,本科,Hadoop、银行,北京青钱信息技术有限公司,http://jobs.zhaopin.com/CC337626410J40504172710.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
数据分析,6千-7千,杭州-上城,3-5年,大专,数据建模、报表开发、数据分析,中联即送网络科技有限公司,http://jobs.zhaopin.com/CCL1256805620J40512910705.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
数据开发工程师,1.5万-3万 · 13薪,杭州-余杭,3-5年,本科,数仓开发、数据挖掘、报表开发,江苏虫洞电子商务有限公司,http://jobs.zhaopin.com/CC392378580J40436214110.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
数据分析员,6千-8千,杭州-余杭,1-3年,本科,商业数据分析、销售数据分析、行业分析、excel、运营数据分析,喜爱宝(浙江)健康管理有限公司,http://jobs.zhaopin.com/CC818269140J40441176113.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
数据科学家,1.2万-2.4万,杭州-临平,5-10年,硕士,SQL、R语言、Python、统计学、数据分析、数据挖掘、数据建模,重庆爱永星辰标准医药服务有限公司,http://jobs.zhaopin.com/CC848313620J40476523009.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
数据建模工程师,1.4万-1.5万 · 13薪,杭州-萧山,3-5年,本科,数据建模、数据平台、数仓开发、Python,维恩贝特科技有限公司,http://jobs.zhaopin.com/CC272648910J40521568308.htm?refcode=4019&srccode=401901&preactionid=916fb7c8-67d0-4939-b427-59f878755b00
