职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
声学算法工程师-超声无损-杭州,1.5万-3万 · 15薪,杭州-滨江,1-3年,硕士,超声检测,杭州海康威视数字技术股份有限公司,http://jobs.zhaopin.com/CC120975580J40583391715.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
（杭州研发中心）音频算法工程师,1.4万-2.5万 · 14薪,杭州,经验不限,本科,信号处理、数字信号、语音识别、深度学习、检测算法、目标跟踪,厦门亿联网络技术股份有限公司,http://jobs.zhaopin.com/CC144503487J00150375005.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
(感知/预测/决策/规划/控制) 算法工程师,2.5万-5万 · 14薪,杭州-上城,5-10年,本科,感知、预测、决策、规划、控制,上海亿捷兆成科技有限公司,http://jobs.zhaopin.com/CCL1460390540J40392834006.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
控制算法实习生,150-200/天,杭州-钱塘,无经验,本科,运动控制算法,杭州启飞智能科技有限公司,http://jobs.zhaopin.com/CC370689480J40299772301.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
风控模型算法工程师,1.5万-2.5万,杭州-滨江,3-5年,本科,风控建模、数据挖掘、交易风控,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40472508106.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
算法工程师,2万-3.5万 · 14薪,杭州-滨江,经验不限,硕士,C++,光科芯图(北京)科技有限公司,http://jobs.zhaopin.com/CCL1419461850J40492135805.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
仪表算法专家,3万-6万,杭州-桐庐,3-5年,硕士,,兴隆台区伯乐企业管理工作室,http://jobs.zhaopin.com/CCL1467960360J40501280008.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
电机控制软件算法工程师,2万-3万 · 14薪,杭州-钱塘,5-10年,本科,FOC无感控制算法、直流无刷电机驱动、电机调试,杭州和而泰智能控制技术有限公司,http://jobs.zhaopin.com/CC366666210J40497704910.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
AI部署工具开发工程师,2.5万-5万,杭州-余杭,1-3年,本科,,进迭时空(杭州)科技有限公司,http://jobs.zhaopin.com/CCL1378359190J40521368807.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
阿里淘宝天猫集团-高级算法工程师-直播团队,面议,杭州-余杭,3-5年,硕士,,阿里巴巴集团,http://jobs.zhaopin.com/CC000127910J40589886715.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
算法工程师（8:30~17:30-杭州）,1.7万-2.1万,杭州-临平,1-3年,本科,Python、OR-TOOLS、linux,广东钰顺数字科技有限公司,http://jobs.zhaopin.com/CCL1419120480J40490004416.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
激光SLAM开发工程师,2.2万-4万 · 13薪,杭州,1-3年,本科,SLAM、机器人、导航算法、定位算法、激光雷达,杭州宇树科技有限公司,http://jobs.zhaopin.com/CC431115180J40182246611.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
光学算法工程师杭州,1.8万-3.5万 · 14薪,杭州-钱塘,1-3年,硕士,视觉图像算法,昂坤视觉,http://jobs.zhaopin.com/CC685860880J40335823704.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
AIO应用工程师,1万-1.5万 · 13薪,杭州-临平,3-5年,大专,电机、控制器、传感器、低压、高压,杭州时代电动科技有限公司,http://jobs.zhaopin.com/CCL1242235940J40489176211.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
集群协同定位算法工程师,2万-4万,杭州-西湖,1-3年,硕士,定位算法、传感器融合,南方新华,http://jobs.zhaopin.com/CC346219280J40462349911.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
资深机器人控制工程师,2万-4万,杭州,1-3年,本科,C++,杭州宇树科技有限公司,http://jobs.zhaopin.com/CC431115186J00099407207.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
雷达信号处理工程师,1万-2万,杭州-临安,3-5年,本科,智慧安防、C语言、定位算法,杭州立安飞科技有限公司,http://jobs.zhaopin.com/CCL1312974420J40474610214.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
光学算法工程师,3万-6万 · 14薪,杭州-钱塘,3-5年,硕士,智能制造、自动驾驶,昂坤视觉,http://jobs.zhaopin.com/CC685860880J40395780104.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
算法工程师,2万-3.5万 · 15薪,杭州-滨江,经验不限,本科,PyTorch、TensorFlow,外企德科,http://jobs.zhaopin.com/CC138117190J40500584605.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
嵌入式工程师（AI SOC方向）,1.5万-3万,杭州-滨江,3-5年,本科,嵌入式软件开发、单片机开发、驱动开发、STM系列、ARM系列,烟台艾睿光电科技有限公司,http://jobs.zhaopin.com/CC390706910J40475813402.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
控制算法工程师,1万-1.5万 · 13薪,杭州-钱塘,经验不限,本科,MATLAB、机器人、控制算法,杭州启飞智能科技有限公司,http://jobs.zhaopin.com/CC370689480J40108308401.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
嵌入式软件开发（算法移植方向）,2万-3万 · 14薪,杭州-余杭,3-5年,本科,语音算法、C++、MATLAB、算法研究、算法移植,北京知存科技有限公司,http://jobs.zhaopin.com/CC581607530J40332282807.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
算法工程师（drc方向）(A110306),2.5万-5万 · 14薪,杭州-余杭,3-5年,本科,C++、C语言、视觉图像算法、图形算法、图像算法,弈芯科技(杭州)有限公司,http://jobs.zhaopin.com/CCL1361675880J40440891611.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
研究院-声学算法工程师-超声无损-杭州,1.5万-3万,杭州-滨江,3-5年,硕士,,杭州海康威视数字技术股份有限公司,http://jobs.zhaopin.com/CC120975580J40574755315.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
变频器算法工程师,1.6万-2.8万,杭州-钱塘,5-10年,本科,算法研究、搜索算法、推荐算法、视觉图像算法,深圳青桐盛夏科技有限公司广州分公司,http://jobs.zhaopin.com/CCL1433151680J40583615115.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
导航算法工程师,2.5万-4.5万,杭州-西湖,3-5年,硕士,导航算法、定位算法、导航定位、对准算法、惯性导航、组合导航、无人飞行器、GPS,南方新华,http://jobs.zhaopin.com/CC346219280J40468457511.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
推荐算法工程师,2.5万-4万 · 16薪,杭州-滨江,3-5年,本科,搜索引擎技术、自然语言处理、深度学习算法、机器学习算法、推荐算法,成都韬普讯企业管理服务有限公司,http://jobs.zhaopin.com/CCL1282387760J40498892103.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
(自动驾驶) SLAM算法工程师 35-70万年薪,2.5万-5万 · 14薪,杭州-上城,5-10年,本科,SLAM算法、导航算法、地图定位,上海亿捷兆成科技有限公司,http://jobs.zhaopin.com/CCL1460390540J40392834206.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
控制算法工程师（无人机集群控制）,3万-4.5万,杭州-西湖,3-5年,本科,导航算法、定位算法、机器人算法、C语言、C++、MATLAB,南方新华,http://jobs.zhaopin.com/CC346219280J40460594011.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
运动控制工程师（英洛华—联宜电机）,1.5万-2.5万 · 13薪,杭州-滨江,3-5年,本科,运动控制算法,英洛华科技股份有限公司,http://jobs.zhaopin.com/CC347330280J40315947602.htm?refcode=4019&srccode=401901&preactionid=356fc3be-41d5-40e1-a51c-e5950dd67032
